,character,structure,segment,number,
U+08AC9,諉,0,言委,委聲,
U+08ACB,請,0,言靑,靑聲,
U+08ACD,諍,0,言爭,爭聲,
U+08ACF,諏,0,言取,取聲,
U+08AD0,諐,1,侃言,侃聲,
U+08AD2,諒,0,言京,京聲,
U+08AD3,諓,0,言戔,戔聲,
U+08AD5,諕,0,言虎,會意,
U+08AD6,論,0,言侖,侖聲,
U+08AD7,諗,0,言念,念聲,
U+08ADA,諚,0,言定,国字,
U+08ADB,諛,0,言臾,臾聲,
U+08ADC,諜,0,言枼,枼聲,
U+08ADD,諝,0,言胥,胥聲,
U+08ADE,諞,0,言扁,扁聲,
U+08ADF,諟,0,言是,是聲,
U+08AE0,諠,0,言宣,宣聲,
U+08AE2,諢,0,言軍,軍聲,
U+08AE3,諣,0,言咼,咼聲,
U+08AE4,諤,0,言咢,咢聲,
U+08AE6,諦,0,言帝,帝聲,
U+08AE7,諧,0,言皆,皆聲,
U+08AEB,諫,0,言柬,柬聲,
U+08AED,諭,0,言兪,兪聲,
U+08AEF,諯,0,言耑,耑聲,
U+08AF0,諰,0,言思,思亦聲,
U+08AF1,諱,0,言韋,韋聲,
U+08AF3,諳,0,言音,音聲,
U+08AF4,諴,0,言咸,咸聲,
U+08AF6,諶,0,言甚,甚聲,
U+08AF7,諷,0,言風,風聲,
U+08AF8,諸,0,言者,者聲,
U+08AFA,諺,0,言產,產聲,
U+08AFC,諼,0,言爰,爰聲,
U+08AFD,諽,0,言革,革聲,
U+08AFE,諾,0,言若,若聲,
U+08B00,謀,0,言某,某聲,
U+08B01,謁,0,言曷,曷聲,
U+08B04,謄,8,朕言,朕聲,
U+08B07,謇,1,寒言,寒聲,
U+08B08,謈,3,暴言,暴聲,
U+08B0C,謌,0,言哥,哥聲,
U+08B0D,謍,1,熒言,熒省聲,
U+08B0E,謎,0,言迷,迷亦聲,
U+08B10,謐,0,言𥁑,𥁑聲,
U+08B11,謑,0,言奚,奚聲,
U+08B13,謓,0,言眞,眞聲,
U+08B14,謔,0,言虐,虐聲,
U+08B16,謖,0,言畟,畟聲,
U+08B18,謘,0,言屖,屖聲,
U+08B19,謙,0,言兼,兼聲,
U+08B1A,謚,0,言益,益聲,
U+08B1B,講,0,言冓,冓聲,
U+08B1C,謜,0,言原,原聲,
U+08B20,謠,0,言䍃,䍃聲,
U+08B23,謣,0,言雩,雩聲,
U+08B26,謦,1,殸言,殸聲,
U+08B27,謧,0,言离,离聲,
U+08B28,謨,0,言莫,莫聲,
U+08B2C,謬,0,言翏,翏聲,
U+08B2E,謮,0,言責,責聲,
U+08B2F,謯,0,言虘,虘聲,
U+08B30,謰,0,言連,連聲,
U+08B31,謱,0,言婁,婁聲,
U+08B32,謲,0,言參,參聲,
U+08B33,謳,0,言區,區聲,
U+08B35,謵,0,言習,習聲,
U+08B37,謷,1,敖言,敖聲,
U+08B3A,謺,1,執言,,
U+08B3C,謼,0,言虖,虖聲,
U+08B3E,謾,0,言曼,曼聲,
U+08B44,譄,0,言曾,曾聲,
U+08B46,譆,0,言喜,喜聲,
U+08B47,譇,0,言奢,奢聲,
U+08B49,證,0,言登,登聲,
U+08B4A,譊,0,言堯,堯聲,
U+08B4B,譋,0,言閒,閒聲,
U+08B4C,譌,0,言爲,爲聲,
U+08B4E,譎,0,言矞,矞聲,
U+08B4F,譏,0,言幾,幾聲,
U+08B52,譒,0,言番,番聲,
U+08B56,譖,0,言朁,朁聲,
U+08B58,識,0,言戠,戠聲,
U+08B59,譙,0,言焦,焦聲,
U+08B5A,譚,0,言覃,覃聲,
U+08B5F,譟,0,言喿,喿聲,
U+08B63,譣,0,言僉,僉聲,
U+08B65,譥,1,敫言,敫聲,
U+08B66,警,1,敬言,敬亦聲,
U+08B6A,譪,0,言葛,葛聲,
U+08B6B,譫,0,言詹,詹聲,
U+08B6C,譬,1,辟言,辟聲,
U+08B70,議,0,言義,義聲,
U+08B71,譱,B,羊誩,會意,
U+08B74,譴,0,言遣,遣聲,
U+08B76,譶,1,言誩,會意,
U+08B77,護,0,言蒦,蒦聲,
U+08B78,譸,0,言壽,壽聲,
U+08B7A,譺,0,言疑,疑聲,
U+08B7B,譻,1,賏言,賏聲,
U+08B7D,譽,1,與言,與聲,
U+08B80,讀,0,言𧶠,𧶠聲,
U+08B84,讄,0,言畾,畾聲,
U+08B87,讇,0,言閻,閻聲,
U+08B8C,讌,0,言燕,燕聲,
U+08B8E,讎,4,雔言,雔聲,
U+08B92,讒,0,言毚,毚聲,
U+08B95,讕,0,言闌,闌聲,
U+08B96,讖,0,言韱,韱聲,
U+08B97,讗,0,言巂,巂聲,
U+08B98,讘,0,言聶,聶聲,
U+08B99,讙,0,言雚,雚聲,
U+08B9A,讚,0,言贊,贊聲,
U+08B9C,讜,0,言黨,黨聲,
U+08B9F,讟,4,誩𧶠,𧶠聲,
U+08C38,谸,0,千谷,千聲,
U+08C3A,谺,0,谷牙,牙聲,
U+08C3B,谻,0,谷丮,谷聲,
U+08C3F,谿,0,奚谷,奚聲,
U+08C41,豁,0,害谷,害聲,
U+08C42,豂,0,谷翏,翏聲,
U+08C44,豄,0,谷𧶠,𧶠聲,
U+08C45,豅,0,谷龍,龍聲,
U+08C48,豈,1,山豆,𢼸省聲,
U+08C49,豉,0,豆支,支聲,
U+08C4A,豊,,豊,象形,
U+08C4C,豌,0,豆宛,宛聲,
U+08C4E,豎,1,臤豆,豆聲,
U+08C50,豐,,豐,象形,
U+08C52,豒,0,豐弟,會意,
U+08C53,豓,0,豐盇,盇聲,
U+08C55,豕,,豕,象形,
U+08C56,豖,,豖,象形,
U+08C5A,豚,0,肉豕,會意,
U+08C5D,豝,0,豕巴,巴聲,
U+08C60,豠,0,豕且,且聲,
U+08C62,豢,1,𠔉豕,𠔉聲,
U+08C63,豣,0,豕幵,幵聲,
U+08C66,豦,8,虍豕,會意,
U+08C67,豧,0,豕甫,甫聲,
U+08C68,豨,0,豕希,希聲,
U+08C69,豩,0,豕豕,,
U+08C6B,豫,0,予象,予聲,
U+08C6C,豬,0,豕者,者聲,
U+08C6D,豭,0,豕叚,叚聲,
U+08C6F,豯,0,豕奚,奚聲,
U+08C70,豰,9,𣪊豕,𣪊聲,
U+08C72,豲,0,豕原,原聲,
U+08C73,豳,B,山豩,闕,
U+08C75,豵,0,豕從,從聲,
U+08C76,豶,0,豕賁,賁聲,
U+08C77,豷,0,豕壹,壹聲,
U+08C78,豸,,豸,象形,
U+08C79,豹,0,豸勺,勺聲,
U+08C7A,豺,0,豸才,才聲,
U+08C7B,豻,0,豸干,干聲,
U+08C7C,豼,0,豸比,比聲,
U+08C80,貀,0,豸出,出聲,
U+08C81,貁,0,豸穴,穴聲,
U+08C82,貂,0,豸召,召聲,
U+08C85,貅,0,豸休,休聲,
U+08C88,貈,0,豸舟,舟聲,
U+08C89,貉,0,豸各,各聲,
U+08C8A,貊,0,豸百,百聲,
U+08C8C,貌,0,豸皃,皃聲,
U+08C8D,貍,0,豸里,里聲,
U+08C90,貐,0,豸兪,兪聲,
U+08C92,貒,0,豸耑,耑聲,
U+08C93,貓,0,豸苗,苗聲,
U+08C94,貔,0,豸𣬉,𣬉聲,
U+08C96,貖,0,豸益,益聲,
U+08C98,貘,0,豸莫,莫聲,
U+08C99,貙,0,豸區,區聲,
U+08C9A,貚,0,豸單,單聲,
U+08C9B,貛,0,豸雚,雚聲,
U+08C9C,貜,0,豸矍,矍聲,
U+08C9D,貝,,貝,象形,
U+08C9E,貞,1,卜鼎,鼎省聲,
U+08CA0,負,1,人貝,會意,
U+08CA1,財,0,貝才,才聲,
U+08CA2,貢,1,工貝,工聲,
U+08CA3,貣,1,弋貝,弋聲,
U+08CA4,貤,0,貝也,也聲,
U+08CA6,貦,0,貝元,元聲,
U+08CA7,貧,1,分貝,分亦聲,
U+08CA8,貨,1,化貝,化聲,
U+08CA9,販,0,貝反,反聲,
U+08CAA,貪,1,今貝,今聲,
U+08CAB,貫,1,毌貝,毌聲,
U+08CAF,貯,0,貝宁,宁聲,
U+08CB0,貰,1,世貝,世聲,
U+08CB1,貱,0,貝皮,皮聲,
U+08CB2,貲,1,此貝,此聲,
U+08CB3,貳,9,弍貝,弍聲,
U+08CB6,貶,0,貝乏,乏聲,
U+08CB8,貸,1,代貝,代聲,
U+08CBA,貺,0,貝兄,兄聲,
U+08CBB,費,1,弗貝,弗聲,
U+08CBC,貼,0,貝占,占聲,
U+08CBD,貽,0,貝台,台聲,
U+08CC0,賀,1,加貝,加聲,
U+08CC1,賁,1,卉貝,卉聲,
U+08CC2,賂,0,貝各,各聲,
U+08CC3,賃,1,任貝,任聲,
U+08CC4,賄,0,貝有,有聲,
U+08CC7,資,1,次貝,次聲,
U+08CC8,賈,1,襾貝,襾聲,
U+08CCA,賊,9,戈則,則聲,
U+08CCD,賍,0,貝庄,庄聲,
U+08CCF,賏,0,貝貝,會意,
U+08CD1,賑,0,貝辰,辰聲,
U+08CD3,賓,1,𡧍貝,𡧍聲,
U+08CD5,賕,0,貝求,求聲,
U+08CD6,賖,0,貝余,余聲,
U+08CDA,賚,1,來貝,來聲,
U+08CDC,賜,0,貝易,易聲,
U+08CDE,賞,1,尚貝,尚聲,
U+08CE0,賠,0,貝咅,咅聲,
U+08CE1,賡,8,庚貝,會意,
U+08CE2,賢,1,臤貝,臤聲,
U+08CE4,賤,0,貝戔,戔聲,
U+08CE6,賦,0,貝武,武聲,
U+08CE8,賨,1,宗貝,宗聲,
U+08CEA,質,1,斦貝,會意,
U+08CED,賭,0,貝者,者聲,
U+08CF4,賴,8,剌貝,剌聲,
U+08CF5,賵,0,貝冒,？,
U+08CF8,賸,8,朕貝,朕聲,
U+08CFA,賺,0,貝兼,兼聲,
U+08CFB,賻,0,貝尃,尃聲,
U+08CFC,購,0,貝冓,冓聲,
U+08CFD,賽,1,塞貝,塞省聲,
U+08D07,贇,1,斌貝,斌聲,
U+08D08,贈,0,貝曾,曽聲,
U+08D0A,贊,1,兟貝,會意,
U+08D0B,贋,8,雁貝,雁聲,
U+08D0D,贍,0,貝詹,詹聲,
U+08D0E,贎,0,貝萬,萬聲,
U+08D0F,贏,5,𣎆貝,𣎆聲,
U+08D10,贐,0,貝盡,盡聲,
U+08D13,贓,0,貝臧,臧聲,
U+08D14,贔,1,貝賏,會意,
U+08D19,贙,1,虤貝,會意,
U+08D66,赦,0,赤攵,會意,
U+08D67,赧,0,赤㞋,會意,
U+08D68,赨,0,赤蟲,蟲省聲,
U+08D69,赩,0,赤色,色亦聲,
U+08D6B,赫,0,赤赤,會意,
U+08D6C,赬,0,赤貞,貞聲,
U+08D6D,赭,0,赤者,者聲,
U+08D6E,赮,0,赤叚,叚聲,
U+08D70,走,,走,象形,
U+08D73,赳,A,走丩,丩聲,
U+08D74,赴,A,走卜,卜聲,
U+08D76,赶,A,走干,干聲,
U+08D77,起,A,走巳,巳聲,
U+08D79,赹,A,走勻,勻聲,
U+08D7D,赽,A,走夬,夬聲,
U+08D7E,赾,A,走斤,斤聲,
U+08D80,趀,A,走𠂔,𠂔聲,
U+08D81,趁,A,走㐱,㐱聲,
U+08D84,趄,A,走且,且聲,
U+08D85,超,A,走召,召聲,
U+08D86,趆,A,走氐,氐聲,
U+08D89,趉,A,走出,出聲,
U+08D8A,越,A,走戉,戉聲,
U+08D8C,趌,A,走吉,吉聲,
U+08D91,趑,A,走次,次聲,
U+08D92,趒,A,走兆,兆聲,
U+08D96,趖,A,走坐,坐聲,
U+08D99,趙,A,走肖,肖聲,
U+08D9B,趛,A,走金,金聲,
U+08D9C,趜,A,走匊,匊聲,
U+08DA0,趠,A,走卓,卓聲,
U+08DA1,趡,A,走隹,隹聲,
U+08DA2,趢,A,走彔,彔聲,
U+08DA3,趣,A,走取,取聲,
U+08DA5,趥,A,走酋,酋聲,
U+08DA7,趧,A,走是,是聲,
U+08DA8,趨,A,走芻,芻聲,
U+08DA9,趩,A,走異,異聲,
U+08DAB,趫,A,走喬,喬聲,
U+08DAC,趬,A,走堯,堯聲,
U+08DAE,趮,A,走喿,喿聲,
U+08DAF,趯,A,走翟,翟聲,
U+08DB3,足,1,口止,會意,
U+08DBA,趺,0,𧾷夫,夫聲,
U+08DBC,趼,0,𧾷幵,幵聲,
U+08DBD,趽,0,𧾷方,方聲,
U+08DBE,趾,0,𧾷止,止聲,
U+08DBF,趿,0,𧾷及,及聲,
U+08DC0,跀,0,𧾷月,月聲,
U+08DC2,跂,0,𧾷支,支聲,
U+08DC7,跇,0,𧾷世,世聲,
U+08DCB,跋,0,𧾷犮,犮聲,
U+08DCC,跌,0,𧾷失,失聲,
U+08DCE,跎,0,𧾷它,它聲,
U+08DCF,跏,0,𧾷加,加聲,
U+08DD4,跔,0,𧾷句,句聲,
U+08DD6,跖,0,𧾷石,石聲,
U+08DDA,跚,0,𧾷册,册聲,
U+08DDB,跛,0,𧾷皮,皮聲,
U+08DDD,距,0,𧾷巨,巨聲,
U+08DE1,跡,0,𧾷亦,亦聲,
U+08DE3,跣,0,𧾷先,先聲,
U+08DE7,跧,0,𧾷全,全聲,
U+08DE8,跨,0,𧾷夸,夸聲,
U+08DEA,跪,0,𧾷危,危聲,
U+08DEB,跫,1,巩足,巩聲,
U+08DEF,路,0,𧾷各,各聲,
U+08DF2,跲,0,𧾷合,合聲,
U+08DF3,跳,0,𧾷兆,兆聲,
U+08DFC,跼,0,𧾷局,局聲,
U+08DFD,跽,0,𧾷忌,忌聲,
U+08DFE,跾,1,攸足,攸聲,
U+08DFF,跿,0,𧾷走,走聲,
U+08E04,踄,0,𧾷步,步聲,
U+08E08,踈,0,𧾷束,束聲,
U+08E09,踉,0,𧾷良,良聲,
U+08E0A,踊,0,𧾷甬,甬聲,
U+08E0F,踏,0,𧾷沓,沓聲,
U+08E10,踐,0,𧾷戔,戔聲,
U+08E12,踒,0,𧾷委,委聲,
U+08E14,踔,0,𧾷卓,卓聲,
U+08E1D,踝,0,𧾷果,果聲,
U+08E1E,踞,0,𧾷居,居聲,
U+08E1F,踟,0,𧾷知,知聲,
U+08E23,踣,0,𧾷咅,咅聲,
U+08E24,踤,0,𧾷卒,卒聲,
U+08E26,踦,0,𧾷奇,奇聲,
U+08E27,踧,0,𧾷叔,叔聲,
U+08E2A,踪,0,𧾷宗,宗聲,
U+08E30,踰,0,𧾷兪,兪聲,
U+08E34,踴,0,𧾷勇,勇聲,
U+08E35,踵,0,𧾷重,重聲,
U+08E36,踶,0,𧾷是,是聲,
U+08E38,踸,0,𧾷甚,甚聲,
U+08E3C,踼,0,𧾷昜,昜聲,
U+08E3D,踽,0,𧾷禹,禹聲,
U+08E41,蹁,0,𧾷扁,扁聲,
U+08E42,蹂,0,𧾷柔,柔聲,
U+08E44,蹄,0,𧾷帝,帝聲,
U+08E47,蹇,1,寒足,寒省聲,
U+08E48,蹈,0,𧾷舀,舀聲,
U+08E4A,蹊,0,𧾷奚,奚聲,
U+08E4B,蹋,0,𧾷𦐇,𦐇聲,
U+08E4C,蹌,0,𧾷倉,倉聲,
U+08E4E,蹎,0,𧾷眞,眞聲,
U+08E4F,蹏,0,𧾷虒,虒聲,
U+08E55,蹕,0,𧾷畢,畢聲,
U+08E59,蹙,1,戚足,戚聲,
U+08E5B,蹛,0,𧾷帶,帶聲,
U+08E5F,蹟,0,𧾷責,責聲,
U+08E60,蹠,0,𧾷庶,庶聲,
U+08E63,蹣,0,𧾷㒼,㒼聲,
U+08E64,蹤,0,𧾷從,從聲,
U+08E69,蹩,1,敝足,敝聲,
U+08E6C,蹬,0,𧾷登,登聲,
U+08E6D,蹭,0,𧾷曾,曾聲,
U+08E72,蹲,0,𧾷尊,尊聲,
U+08E74,蹴,0,𧾷就,就聲,
U+08E76,蹶,0,𧾷厥,厥聲,
U+08E7B,蹻,0,𧾷喬,喬聲,
U+08E7C,蹼,0,𧾷菐,菐聲,
U+08E81,躁,0,𧾷喿,喿聲,
U+08E84,躄,1,辟足,辟聲,
U+08E85,躅,0,𧾷蜀,蜀聲,
U+08E87,躇,0,𧾷著,著聲,
U+08E8D,躍,0,𧾷翟,翟聲,
U+08E91,躑,0,𧾷鄭,鄭聲,
U+08E93,躓,0,𧾷質,質聲,
U+08E94,躔,0,𧾷廛,廛聲,
U+08E9B,躛,1,衞足,衞聲,
U+08EA1,躡,0,𧾷聶,聶聲,
U+08EA3,躣,0,𧾷瞿,瞿聲,
U+08EA7,躧,0,𧾷麗,麗聲,
U+08EA9,躩,0,𧾷矍,矍聲,
U+08EAA,躪,0,𧾷藺,藺聲,
U+08EAB,身,B,申人,申省聲,
U+08EAC,躬,0,身弓,弓聲,
U+08EAE,躮,0,身分,国字,
U+08EB2,躲,0,身朵,朵聲,
U+08EB3,躳,0,身呂,會意,
U+08EB5,躵,0,身忍,国字,
U+08EBB,躻,0,身空,国字,
U+08EBE,躾,0,身美,国字,
U+08EC0,軀,0,身區,區聲,
U+08EC5,軅,0,身雁,国字,
U+08EC8,軈,0,身應,国字,
U+08ECA,車,,車,象形,
U+08ECB,軋,0,車乙,乙聲,
U+08ECC,軌,0,車九,九聲,
U+08ECE,軎,,軎,象形,
U+08ED1,軑,0,車大,大聲,
U+08ED2,軒,0,車干,干聲,
U+08ED3,軓,0,車凡,凡聲,
U+08ED4,軔,0,車刃,刃聲,
U+08ED8,軘,0,車屯,屯聲,
U+08EDB,軛,0,車厄,厄聲,
U+08EDC,軜,0,車內,內聲,
U+08EDD,軝,0,車氏,氏聲,
U+08EE0,軠,0,車㞷,㞷聲,
U+08EE5,軥,0,車句,句聲,
U+08EE7,軧,0,車氐,氐聲,
U+08EE8,軨,0,車令,令聲,
U+08EEB,軫,0,車㐱,㐱聲,
U+08EED,軭,0,車匡,匡聲,
U+08EF5,軵,0,車付,會意,
U+08EF6,軶,0,車戹,戹聲,
U+08EF7,軷,0,車犮,犮聲,
U+08EF8,軸,0,車由,由聲,
U+08EF9,軹,0,車只,只聲,
U+08EFA,軺,0,車召,召聲,
U+08EFB,軻,0,車可,可聲,
U+08EFC,軼,0,車失,失聲,
U+08EFE,軾,0,車式,式聲,
U+08F00,輀,0,車而,而亦聲,
U+08F02,輂,1,共車,共聲,
U+08F03,較,0,車交,交聲,
U+08F05,輅,0,車各,各聲,
U+08F07,輇,0,車全,全聲,
U+08F08,輈,0,車舟,舟聲,
U+08F0A,輊,0,車至,至聲,
U+08F11,輑,0,車君,君聲,
U+08F12,輒,0,車耴,耴聲,
U+08F13,輓,0,車免,免聲,
U+08F14,輔,0,車甫,甫聲,
U+08F15,輕,0,車巠,巠聲,
U+08F16,輖,0,車周,周聲,
U+08F17,輗,0,車兒,兒聲,
U+08F1B,輛,0,車兩,兩聲,
U+08F1C,輜,0,車甾,甾聲,
U+08F1D,輝,0,光軍,軍聲,
U+08F1F,輟,0,車叕,叕聲,
U+08F1F,輟,0,車叕,叕聲,
U+08F22,輢,0,車奇,奇聲,
U+08F23,輣,0,車朋,朋聲,
U+08F25,輥,0,車昆,昆聲,
U+08F26,輦,1,㚘車,會意,
U+08F27,輧,0,車幷,幷聲,
U+08F28,輨,0,車官,官聲,
U+08F29,輩,1,非車,非聲,
U+08F2A,輪,0,車侖,侖聲,
U+08F2C,輬,0,車京,京聲,
U+08F2D,輭,0,車耎,耎聲,
U+08F2E,輮,0,車柔,柔聲,
U+08F2F,輯,0,車咠,咠聲,
U+08F33,輳,0,車奏,奏聲,
U+08F36,輶,0,車酋,酋聲,
U+08F38,輸,0,車兪,兪聲,
U+08F3B,輻,0,車畐,畐聲,
U+08F3E,輾,0,車展,展聲,
U+08F3F,輿,6,舁車,舁聲,
U+08F40,轀,0,車𥁕,𥁕聲,
U+08F42,轂,9,𣪊車,𣪊聲,
U+08F43,轃,0,車秦,秦聲,
U+08F44,轄,0,車害,害聲,
U+08F45,轅,0,車袁,袁聲,
U+08F46,轆,0,車鹿,鹿聲,
U+08F48,轈,0,車巢,巢聲,
U+08F49,轉,0,車專,專聲,
U+08F4A,轊,0,車彗,彗聲,
U+08F4C,轌,0,車雪,国字,
U+08F4D,轍,0,車徹,徹省聲,
U+08F4E,轎,0,車喬,喬聲,
U+08F4F,轏,0,車孱,孱聲,
U+08F50,轐,0,車菐,菐聲,
U+08F51,轑,0,車尞,尞聲,
U+08F52,轒,0,車賁,賁聲,
U+08F56,轖,0,車嗇,嗇聲,
U+08F57,轗,0,車感,感聲,
U+08F59,轙,0,車義,義聲,
U+08F5A,轚,1,𣪠車,𣪠亦聲,
U+08F5B,轛,0,車對,對聲,
U+08F5C,轜,0,車需,需聲,
U+08F5F,轟,1,車䡛,會意,
U+08F61,轡,B,絲叀,會意,
U+08F62,轢,0,車樂,樂聲,
U+08F63,轣,0,車歴,歴聲,
U+08F64,轤,0,車盧,盧聲,
U+08F9B,辛,B,䇂一,會意,
U+08F9C,辜,1,古辛,古聲,
U+08F9D,辝,0,台辛,會意,
U+08F9F,辟,0,8,卩口辛,
U+08FA0,辠,1,自辛,會意,
U+08FA1,辡,0,辛辛,,
U+08FA3,辣,0,辛剌,剌聲,
U+08FA4,辤,0,受辛,會意,
U+08FA5,辥,0,𡴎辛,𡶫聲,
U+08FA6,辦,4,辡力,辡聲,
U+08FA8,辨,4,辡刂,辡聲,
U+08FAC,辬,4,辡文,辡聲,
U+08FAD,辭,0,𤔔辛,𤔔聲,
U+08FAE,辮,4,辡糸,辡聲,
U+08FAF,辯,4,辡言,辡聲,
U+08FB0,辰,,辰,象形,
U+08FB1,辱,1,辰寸,會意,
U+08FB5,辵,1,彳止,會意,
U+08FB7,辷,A,辶一,国字,
U+08FBB,辻,A,辶十,国字,
U+08FBC,込,A,辶入,国字,
U+08FBE,达,A,辶大,大聲,
U+08FBF,辿,A,辶山,山聲,
U+08FC0,迀,A,辶干,干聲,
U+08FC2,迂,A,辶于,于聲,
U+08FC4,迄,A,辶乞,乞聲,
U+08FC5,迅,A,辶卂,卂聲,
U+08FC6,迆,A,辶也,也聲,
U+08FCB,迋,A,辶王,王聲,
U+08FCE,迎,A,辶卬,卬聲,
U+08FD1,近,A,辶斤,斤聲,
U+08FD2,迒,A,辶亢,亢聲,
U+08FD3,迓,A,辶牙,？,
U+08FD4,返,A,辶反,反亦聲,
U+08FDA,迚,A,辶中,国字,
U+08FE2,迢,A,辶召,召聲,
U+08FE3,迣,A,辶世,世聲,
U+08FE5,迥,A,辶冋,冋聲,
U+08FE6,迦,A,辶加,加聲,
U+08FEA,迪,A,辶由,由聲,
U+08FEB,迫,A,辶白,白聲,
U+08FED,迭,A,辶失,失聲,
U+08FEE,迮,A,辶乍,乍聲,
U+08FF0,述,A,辶朮,朮聲,
U+08FF5,迵,A,辶同,同聲,
U+08FF7,迷,A,辶米,米聲,
U+08FFA,迺,A,乃西,,
U+08FFB,迻,A,辶多,多聲,
U+08FFD,追,A,辶𠂤,𠂤聲,
U+09003,逃,A,辶兆,兆聲,
U+09005,逅,A,辶后,后聲,
U+09006,逆,A,辶屰,屰聲,
U+0900B,逋,A,辶甫,甫聲,
U+0900D,逍,A,辶肖,肖聲,
U+0900F,透,A,辶秀,秀聲,
U+09010,逐,A,辶豖,豖省聲,
U+09011,逑,A,辶求,求聲,
U+09014,途,A,辶余,余聲,
U+09015,逕,A,辶巠,巠聲,
U+09016,逖,A,辶狄,狄聲,
U+09017,逗,A,辶豆,豆聲,
U+09019,這,A,辶言,言聲,
U+0901A,通,A,辶甬,甬聲,
U+0901D,逝,A,辶折,折聲,
U+0901E,逞,A,辶呈,呈聲,
U+0901F,速,A,辶束,束聲,
U+09020,造,A,辶告,告聲,
U+09021,逡,A,辶夋,夋聲,
U+09022,逢,A,辶夆,夆聲,
U+09023,連,A,辶車,會意,
U+09027,逧,A,辶谷,国字,
U+0902C,逬,A,辶幷,幷聲,
U+0902D,逭,A,辶官,官聲,
U+0902E,逮,A,辶隶,隶聲,
U+0902F,逯,A,辶彔,彔聲,
U+09031,週,A,辶周,周聲,
U+09032,進,A,辶隹,隹聲,
U+09034,逴,A,辶卓,卓聲,
U+09035,逵,A,辶坴,坴聲,
U+09036,逶,A,辶委,委聲,
U+09038,逸,A,辶兔,會意,
U+0903C,逼,A,辶畐,畐聲,
U+0903E,逾,A,辶兪,兪聲,
U+09041,遁,A,辶盾,盾聲,
U+09042,遂,A,辶㒸,㒸聲,
U+09044,遄,A,辶耑,耑聲,
U+09047,遇,A,辶禺,禺聲,
U+09049,遉,A,辶貞,貞聲,
U+0904A,遊,A,辶斿,斿聲,
U+0904B,運,A,辶軍,軍聲,
U+0904C,遌,A,辶咢,亦聲,
U+0904D,遍,A,辶扁,扁聲,
U+0904E,過,A,辶咼,咼聲,
U+0904F,遏,A,辶曷,曷聲,
U+09050,遐,A,辶叚,叚聲,
U+09051,遑,A,辶皇,皇聲,
U+09052,遒,A,辶酋,酋聲,
U+09053,道,A,辶首,會意,
U+09055,違,A,辶韋,韋聲,
U+09056,遖,A,辶南,国字,
U+09058,遘,A,辶冓,冓聲,
U+09059,遙,A,辶䍃,䍃聲,
U+0905C,遜,A,辶孫,孫聲,
U+0905D,遝,A,辶眔,眔聲,
U+0905E,遞,A,辶虒,虒聲,
U+0905F,遟,A,辶屖,屖聲,
U+09060,遠,A,辶袁,袁聲,
U+09061,遡,A,辶朔,朔亦聲,
U+09063,遣,A,辶𠳋,𠳋聲,
U+09066,遦,A,辶貫,貫聲,
U+0906F,遯,A,辶豚,豚聲,
U+09070,遰,A,辶帶,帶聲,
U+09071,遱,A,辶婁,婁聲,
U+09072,遲,A,辶犀,犀聲,
U+09075,遵,A,辶尊,尊聲,
U+09076,遶,0,辶堯,堯聲,
U+09079,遹,A,辶矞,矞聲,
U+0907C,遼,A,辶尞,尞聲,
U+0907D,遽,A,辶豦,豦聲,
U+0907F,避,A,辶辟,辟聲,
U+09080,邀,A,辶敫,敫聲,
U+09081,邁,A,辶萬,萬聲,
U+09082,邂,A,辶解,解聲,
U+09083,邃,A,遂穴,遂聲,
U+09087,邇,A,辶爾,爾聲,
U+0908B,邋,A,辶巤,巤聲,
U+0908C,邌,A,辶黎,黎聲,
U+0908D,邍,A,辶1,备录,
U+0908E,邎,A,辶䌛,䌛聲,
U+0908F,邏,A,辶羅,羅聲,
U+09090,邐,A,辶麗,麗聲,
U+09091,邑,1,囗卪,會意,
U+09094,邔,0,己阝,己聲,
U+09095,邕,1,巛邑,會意,
U+09096,邖,0,山阝,山聲,
U+09097,邗,0,干阝,干聲,
U+09099,邙,0,亡阝,亡聲,
U+0909B,邛,0,工阝,工聲,
U+0909E,邞,0,夫阝,夫聲,
U+0909F,邟,0,亢阝,亢聲,
U+090A1,邡,0,方阝,方聲,
U+090A7,邧,0,元阝,元聲,
U+090AA,邪,0,牙阝,牙聲,
U+090AB,邫,0,丰邑,丰聲,
U+090AD,邭,0,句阝,句聲,
U+090AE,邮,0,由阝,由聲,
U+090B0,邰,0,台阝,台聲,
U+090B1,邱,0,丘阝,丘聲,
U+090B2,邲,0,必阝,必聲,
U+090B3,邳,0,丕阝,丕聲,
U+090B4,邴,0,丙阝,丙聲,
U+090B5,邵,0,召阝,召聲,
U+090B6,邶,0,北阝,北聲,
U+090B8,邸,0,氐阝,氐聲,
U+090BC,邼,0,匡阝,匡聲,
U+090BD,邽,0,圭阝,圭聲,
U+090BE,邾,0,朱阝,朱聲,
U+090BF,邿,0,寺阝,寺聲,
U+090C2,郂,0,亥阝,亥聲,
U+090C3,郃,0,合阝,合聲,
U+090C5,郅,0,至阝,至聲,
U+090C7,郇,0,旬阝,旬聲,
U+090C8,郈,0,后阝,后聲,
U+090C9,郉,0,幵阝,幵聲,
U+090CA,郊,0,交阝,交聲,
U+090CB,郋,0,自阝,自聲,
U+090D4,郔,0,延阝,延聲,
U+090D5,郕,0,成阝,成聲,
