,index,root,inflection,tag,rule,reg
2574,2574,enprison,enprisoned,V;PST,+ed,Regular
2578,2578,metastisize,metastisized,V;PST,+d,Irregular
2580,2580,acrospire,acrospired,V;PST,+d,Irregular
2583,2583,recollapse,recollapsed,V;PST,+d,Irregular
2584,2584,conveyance,conveyanced,V;PST,+d,Irregular
2586,2586,liquidise,liquidised,V;PST,+d,Irregular
2591,2591,yoink,yoinked,V;PST,+ed,Regular
2598,2598,cinch,cinched,V;PST,+ed,Regular
2605,2605,retrogress,retrogressed,V;PST,+ed,Regular
2606,2606,incurve,incurved,V;PST,+d,Irregular
2610,2610,boil,boiled,V;PST,+ed,Regular
2617,2617,undog,undogged,V;PST,double spell,Irregular
2632,2632,uppercut,uppercut,V;PST,d-t,Irregular
2637,2637,externalise,externalised,V;PST,+d,Irregular
2640,2640,beheart,behearted,V;PST,+ed,Regular
2643,2643,patinate,patinated,V;PST,+d,Irregular
2648,2648,solipsize,solipsized,V;PST,+d,Irregular
2650,2650,depanelize,depanelized,V;PST,+d,Irregular
2652,2652,exnihilate,exnihilated,V;PST,+d,Irregular
2653,2653,cross-fertilize,cross-fertilized,V;PST,+d,Irregular
2654,2654,overpush,overpushed,V;PST,+ed,Regular
2657,2657,overshare,overshared,V;PST,+d,Irregular
2660,2660,mendicate,mendicated,V;PST,+d,Irregular
2661,2661,beslurry,beslurried,V;PST,y-ied,Irregular
2664,2664,halalize,halalized,V;PST,+d,Irregular
2679,2679,mishmash,mishmashed,V;PST,+ed,Regular
2683,2683,toslive,toslived,V;PST,+d,Irregular
2687,2687,emule,emuled,V;PST,+d,Irregular
2688,2688,tally,tallied,V;PST,y-ied,Irregular
2689,2689,palettise,palettised,V;PST,+d,Irregular
2705,2705,suffice,sufficed,V;PST,+d,Irregular
2706,2706,respect,respected,V;PST,+ed,Regular
2722,2722,mindscrew,mindscrewed,V;PST,+ed,Regular
2725,2725,manifest,manifested,V;PST,+ed,Regular
2727,2727,miscalibrate,miscalibrated,V;PST,+d,Irregular
2729,2729,spanish,spanished,V;PST,+ed,Regular
2735,2735,tetanize,tetanized,V;PST,+d,Irregular
2742,2742,intervent,intervented,V;PST,+ed,Regular
2748,2748,overdetermine,overdetermined,V;PST,+d,Irregular
2757,2757,free,freed,V;PST,+d,Irregular
2759,2759,taxi,taxied,V;PST,+ed,Regular
2761,2761,reënable,reënabled,V;PST,+d,Irregular
2762,2762,air-freight,air-freighted,V;PST,+ed,Regular
2763,2763,unsubscribe,unsubscribed,V;PST,+d,Irregular
2766,2766,polytenize,polytenized,V;PST,+d,Irregular
2770,2770,luxuriate,luxuriated,V;PST,+d,Irregular
2777,2777,transmigrate,transmigrated,V;PST,+d,Irregular
2779,2779,strew,strewed,V;PST,+ed,Regular
2786,2786,proselytise,proselytised,V;PST,+d,Irregular
2790,2790,enarmor,enarmored,V;PST,+ed,Regular
2794,2794,afford,afforded,V;PST,+ed,Regular
2804,2804,kiteboard,kiteboarded,V;PST,+ed,Regular
2805,2805,foray,forayed,V;PST,+ed,Regular
2817,2817,exact,exacted,V;PST,+ed,Regular
2838,2838,overwash,overwashed,V;PST,+ed,Regular
2840,2840,postscript,postscripted,V;PST,+ed,Regular
2842,2842,livescan,livescanned,V;PST,double spell,Irregular
2843,2843,detraditionalise,detraditionalised,V;PST,+d,Irregular
2849,2849,ant,anted,V;PST,+ed,Regular
2853,2853,unstick,unstuck,V;PST,special,Irregular
2859,2859,sense,sensed,V;PST,+d,Irregular
2863,2863,embrighten,embrightened,V;PST,+ed,Regular
2865,2865,unhill,unhilled,V;PST,+ed,Regular
2868,2868,anarchize,anarchized,V;PST,+d,Irregular
2878,2878,emasculate,emasculated,V;PST,+d,Irregular
2889,2889,forsloth,forslothed,V;PST,+ed,Regular
2901,2901,beknit,beknit,V;PST,d-t,Irregular
2905,2905,glug,glugged,V;PST,double spell,Irregular
2908,2908,anonymize,anonymized,V;PST,+d,Irregular
2918,2918,forwall,forwalled,V;PST,+ed,Regular
2923,2923,rebutter,rebuttered,V;PST,+ed,Regular
2927,2927,tod,todded,V;PST,double spell,Irregular
2929,2929,skin-dive,skin-dove,V;PST,special,Irregular
2932,2932,crash-land,crash-landed,V;PST,+ed,Regular
2937,2937,gladden,gladdened,V;PST,+ed,Regular
2938,2938,person,personed,V;PST,+ed,Regular
2942,2942,whitelist,whitelisted,V;PST,+ed,Regular
2946,2946,misreckon,misreckoned,V;PST,+ed,Regular
2947,2947,unblindfold,unblindfolded,V;PST,+ed,Regular
2951,2951,bucket,bucketed,V;PST,+ed,Regular
2960,2960,exsect,exsected,V;PST,+ed,Regular
2964,2964,acknow,acknew,V;PST,special,Irregular
2966,2966,counterbalance,counterbalanced,V;PST,+d,Irregular
2967,2967,unexecute,unexecuted,V;PST,+d,Irregular
2970,2970,de-gay,de-gayed,V;PST,+ed,Regular
2971,2971,bespeckle,bespeckled,V;PST,+d,Irregular
2973,2973,interfinger,interfingered,V;PST,+ed,Regular
2975,2975,crinkle,crinkled,V;PST,+d,Irregular
2987,2987,underprovision,underprovisioned,V;PST,+ed,Regular
2989,2989,echolocate,echolocated,V;PST,+d,Irregular
3007,3007,flicker,flickered,V;PST,+ed,Regular
3027,3027,gallicize,gallicized,V;PST,+d,Irregular
3035,3035,sinch,sinched,V;PST,+ed,Regular
3038,3038,congrue,congrued,V;PST,+d,Irregular
3041,3041,honnor,honnored,V;PST,+ed,Regular
3044,3044,financialise,financialised,V;PST,+d,Irregular
3047,3047,marbelize,marbelized,V;PST,+d,Irregular
3048,3048,inspirit,inspirited,V;PST,+ed,Regular
3052,3052,disunify,disunified,V;PST,y-ied,Irregular
3055,3055,halalify,halalified,V;PST,y-ied,Irregular
3057,3057,unroof,unroofed,V;PST,+ed,Regular
3065,3065,resocket,resocketed,V;PST,+ed,Regular
3076,3076,incardinate,incardinated,V;PST,+d,Irregular
3079,3079,referee,refereed,V;PST,+d,Irregular
3082,3082,husband,husbanded,V;PST,+ed,Regular
3090,3090,forthpass,forthpassed,V;PST,+ed,Regular
3092,3092,bergh,berghed,V;PST,+ed,Regular
3105,3105,devastate,devastated,V;PST,+d,Irregular
3106,3106,rebrobate,rebrobated,V;PST,+d,Irregular
3110,3110,hotline,hotlined,V;PST,+d,Irregular
3117,3117,disacknowledge,disacknowledged,V;PST,+d,Irregular
3121,3121,synchronise,synchronised,V;PST,+d,Irregular
3134,3134,bullwhip,bullwhipped,V;PST,double spell,Irregular
3136,3136,drip-dry,drip-dried,V;PST,y-ied,Irregular
3139,3139,understaund,understaunded,V;PST,+ed,Regular
3140,3140,apprize,apprized,V;PST,+d,Irregular
3141,3141,mercerize,mercerized,V;PST,+d,Irregular
3147,3147,goaltend,goaltended,V;PST,+ed,Regular
3151,3151,freecycle,freecycled,V;PST,+d,Irregular
3158,3158,empoverish,empoverished,V;PST,+ed,Regular
3167,3167,touzle,touzled,V;PST,+d,Irregular
3188,3188,beach,beached,V;PST,+ed,Regular
3202,3202,reimburse,reimbursed,V;PST,+d,Irregular
3219,3219,ken,kent,V;PST,special,Irregular
3224,3224,relumine,relumined,V;PST,+d,Irregular
3226,3226,upstay,upstayed,V;PST,+ed,Regular
3230,3230,spancel,spancelled,V;PST,double spell,Irregular
3237,3237,modulate,modulated,V;PST,+d,Irregular
3239,3239,list,list,V;PST,d-t,Irregular
3244,3244,sparkle,sparkled,V;PST,+d,Irregular
3251,3251,disemburden,disemburdened,V;PST,+ed,Regular
3261,3261,interclose,interclosed,V;PST,+d,Irregular
3263,3263,ghettoise,ghettoised,V;PST,+d,Irregular
3277,3277,restaple,restapled,V;PST,+d,Irregular
3278,3278,embrave,embraved,V;PST,+d,Irregular
3296,3296,dullen,dullened,V;PST,+ed,Regular
3300,3300,capitalize,capitalized,V;PST,+d,Irregular
3303,3303,permeabilize,permeabilized,V;PST,+d,Irregular
3307,3307,repo,repoed,V;PST,+ed,Regular
3312,3312,electroblot,electroblotted,V;PST,double spell,Irregular
3313,3313,disavow,disavowed,V;PST,+ed,Regular
3315,3315,outfight,outfought,V;PST,special,Irregular
3320,3320,prefabricate,prefabricated,V;PST,+d,Irregular
3326,3326,gripe,griped,V;PST,+d,Irregular
3330,3330,demobilise,demobilised,V;PST,+d,Irregular
3338,3338,bemirror,bemirrored,V;PST,+ed,Regular
3340,3340,slap,slapped,V;PST,double spell,Irregular
3344,3344,siren,sirened,V;PST,+ed,Regular
3350,3350,permanent,permanented,V;PST,+ed,Regular
3353,3353,equivalence,equivalenced,V;PST,+d,Irregular
3367,3367,featherbed,featherbedded,V;PST,double spell,Irregular
3368,3368,melee,meleed,V;PST,+d,Irregular
3370,3370,recopy,recopied,V;PST,y-ied,Irregular
3376,3376,untreasure,untreasured,V;PST,+d,Irregular
3384,3384,relish,relished,V;PST,+ed,Regular
3392,3392,reinhabit,reinhabited,V;PST,+ed,Regular
3404,3404,immunoprotect,immunoprotected,V;PST,+ed,Regular
3407,3407,untangle,untangled,V;PST,+d,Irregular
3416,3416,telex,telexed,V;PST,+ed,Regular
3418,3418,darwinize,darwinized,V;PST,+d,Irregular
3424,3424,perfect,perfected,V;PST,+ed,Regular
3427,3427,misassign,misassigned,V;PST,+ed,Regular
3435,3435,unblind,unblinded,V;PST,+ed,Regular
3440,3440,upsoar,upsoared,V;PST,+ed,Regular
3443,3443,desumoylate,desumoylated,V;PST,+d,Irregular
3447,3447,overindulge,overindulged,V;PST,+d,Irregular
3449,3449,rechamber,rechambered,V;PST,+ed,Regular
3450,3450,talliate,talliated,V;PST,+d,Irregular
3456,3456,subsign,subsigned,V;PST,+ed,Regular
3457,3457,defoul,defouled,V;PST,+ed,Regular
3466,3466,disgust,disgusted,V;PST,+ed,Regular
3467,3467,stove,stoved,V;PST,+d,Irregular
3472,3472,phone,phoned,V;PST,+d,Irregular
3480,3480,dizzy,dizzied,V;PST,y-ied,Irregular
3482,3482,evomit,evomited,V;PST,+ed,Regular
3483,3483,trademark,trademarked,V;PST,+ed,Regular
3487,3487,sticky,stickied,V;PST,y-ied,Irregular
3489,3489,mislabel,mislabelled,V;PST,double spell,Irregular
3490,3490,red,redded,V;PST,double spell,Irregular
3496,3496,crenellate,crenellated,V;PST,+d,Irregular
3497,3497,reconjure,reconjured,V;PST,+d,Irregular
3499,3499,planogram,planogrammed,V;PST,double spell,Irregular
3500,3500,maximalize,maximalized,V;PST,+d,Irregular
3502,3502,pitchfork,pitchforked,V;PST,+ed,Regular
3506,3506,mute,muted,V;PST,+d,Irregular
3510,3510,stonk,stonked,V;PST,+ed,Regular
3515,3515,repack,repacked,V;PST,+ed,Regular
3527,3527,unthink,unthought,V;PST,special,Irregular
3531,3531,obelise,obelised,V;PST,+d,Irregular
3533,3533,idle,idled,V;PST,+d,Irregular
3549,3549,shield,shielded,V;PST,+ed,Regular
3553,3553,bootstrap,bootstrapped,V;PST,double spell,Irregular
3555,3555,dirk,dirked,V;PST,+ed,Regular
3559,3559,bottleneck,bottlenecked,V;PST,+ed,Regular
3568,3568,unprofessionalise,unprofessionalised,V;PST,+d,Irregular
3576,3576,forlet,forlet,V;PST,d-t,Irregular
3581,3581,ted,tedded,V;PST,double spell,Irregular
3585,3585,enspect,enspected,V;PST,+ed,Regular
3589,3589,allude,alluded,V;PST,+d,Irregular
3597,3597,blamestorm,blamestormed,V;PST,+ed,Regular
3611,3611,disvalue,disvalued,V;PST,+d,Irregular
3613,3613,abstrict,abstricted,V;PST,+ed,Regular
3617,3617,bepuzzle,bepuzzled,V;PST,+d,Irregular
3621,3621,swoop,swooped,V;PST,+ed,Regular
3623,3623,cue,cued,V;PST,+d,Irregular
3626,3626,ensheath,ensheathed,V;PST,+ed,Regular
3637,3637,bed,bedded,V;PST,double spell,Irregular
3658,3658,end,ended,V;PST,+ed,Regular
3664,3664,underdrive,underdrove,V;PST,special,Irregular
3667,3667,partition,partitioned,V;PST,+ed,Regular
3668,3668,ventriloquize,ventriloquized,V;PST,+d,Irregular
3674,3674,œconomise,œconomised,V;PST,+d,Irregular
3676,3676,popple,poppled,V;PST,+d,Irregular
3682,3682,opacate,opacated,V;PST,+d,Irregular
3684,3684,unisexualize,unisexualized,V;PST,+d,Irregular
3686,3686,miniaturise,miniaturised,V;PST,+d,Irregular
3689,3689,shade,shaded,V;PST,+d,Irregular
3692,3692,sororize,sororized,V;PST,+d,Irregular
3695,3695,vinegar,vinegared,V;PST,+ed,Regular
3699,3699,champagne,champagned,V;PST,+d,Irregular
3700,3700,foresay,foresaid,V;PST,special,Irregular
3717,3717,forework,foreworked,V;PST,+ed,Regular
3718,3718,snowboard,snowboarded,V;PST,+ed,Regular
3719,3719,agnise,agnised,V;PST,+d,Irregular
3721,3721,burr,burred,V;PST,+ed,Regular
3722,3722,unmuffle,unmuffled,V;PST,+d,Irregular
3725,3725,bonjour,bonjoured,V;PST,+ed,Regular
3729,3729,defæcate,defæcated,V;PST,+d,Irregular
3743,3743,banninate,banninated,V;PST,+d,Irregular
3746,3746,scraight,scraighted,V;PST,+ed,Regular
3747,3747,worthy,worthied,V;PST,y-ied,Irregular
3755,3755,architect,architected,V;PST,+ed,Regular
3771,3771,scower,scowered,V;PST,+ed,Regular
3774,3774,degrammaticalize,degrammaticalized,V;PST,+d,Irregular
3776,3776,beleap,beleapt,V;PST,special,Irregular
3782,3782,brob,brobbed,V;PST,double spell,Irregular
3783,3783,betimber,betimbered,V;PST,+ed,Regular
3789,3789,skurry,skurried,V;PST,y-ied,Irregular
3795,3795,yelloch,yelloched,V;PST,+ed,Regular
3802,3802,proffer,proffered,V;PST,+ed,Regular
3804,3804,defibrillate,defibrillated,V;PST,+d,Irregular
3805,3805,fibrise,fibrised,V;PST,+d,Irregular
3806,3806,amaze,amazed,V;PST,+d,Irregular
3808,3808,outact,outacted,V;PST,+ed,Regular
3811,3811,reface,refaced,V;PST,+d,Irregular
3815,3815,underpour,underpoured,V;PST,+ed,Regular
3821,3821,repair,repaired,V;PST,+ed,Regular
3823,3823,kenyanize,kenyanized,V;PST,+d,Irregular
3825,3825,smake,smaked,V;PST,+d,Irregular
3827,3827,desync,desynced,V;PST,+ed,Regular
3830,3830,scabbard,scabbarded,V;PST,+ed,Regular
3835,3835,winterkill,winterkilled,V;PST,+ed,Regular
3849,3849,condite,condited,V;PST,+d,Irregular
3854,3854,reinvoice,reinvoiced,V;PST,+d,Irregular
3855,3855,remark,remarked,V;PST,+ed,Regular
3856,3856,konk,konked,V;PST,+ed,Regular
3858,3858,parbuckle,parbuckled,V;PST,+d,Irregular
3859,3859,stoccade,stoccaded,V;PST,+d,Irregular
3868,3868,endenizen,endenizened,V;PST,+ed,Regular
3870,3870,cordon,cordoned,V;PST,+ed,Regular
3871,3871,swaddle,swaddled,V;PST,+d,Irregular
3880,3880,relade,reladed,V;PST,+d,Irregular
3882,3882,emblossom,emblossomed,V;PST,+ed,Regular
3888,3888,survene,surveneed,V;PST,+ed,Regular
3892,3892,regarrison,regarrisoned,V;PST,+ed,Regular
3904,3904,slug,slugged,V;PST,double spell,Irregular
3907,3907,boy,boyed,V;PST,+ed,Regular
3910,3910,evil-eye,evil-eyed,V;PST,+d,Irregular
3917,3917,pock,pocked,V;PST,+ed,Regular
3923,3923,beclown,beclowned,V;PST,+ed,Regular
3928,3928,forstall,forstalled,V;PST,+ed,Regular
3938,3938,obey,obeyed,V;PST,+ed,Regular
3942,3942,ruinate,ruinated,V;PST,+d,Irregular
3945,3945,outspeed,outsped,V;PST,special,Irregular
3951,3951,dismast,dismasted,V;PST,+ed,Regular
3953,3953,interstratify,interstratified,V;PST,y-ied,Irregular
3960,3960,coadjust,coadjusted,V;PST,+ed,Regular
3968,3968,jew,jewed,V;PST,+ed,Regular
3969,3969,revoice,revoiced,V;PST,+d,Irregular
3977,3977,reconceptualise,reconceptualised,V;PST,+d,Irregular
3988,3988,physicalize,physicalized,V;PST,+d,Irregular
3992,3992,immit,immitted,V;PST,double spell,Irregular
3996,3996,wardrobe,wardrobed,V;PST,+d,Irregular
3997,3997,moove,mooved,V;PST,+d,Irregular
4002,4002,major,majored,V;PST,+ed,Regular
4004,4004,surfcast,surfcast,V;PST,d-t,Irregular
4005,4005,begreet,begreeted,V;PST,+ed,Regular
4006,4006,comb,combed,V;PST,+ed,Regular
4007,4007,pow-wow,pow-wowed,V;PST,+ed,Regular
4020,4020,fissure,fissured,V;PST,+d,Irregular
4023,4023,tip,tipped,V;PST,double spell,Irregular
4035,4035,discover,discovered,V;PST,+ed,Regular
4044,4044,complexify,complexified,V;PST,y-ied,Irregular
4051,4051,dishorse,dishorsed,V;PST,+d,Irregular
4052,4052,rigorise,rigorised,V;PST,+d,Irregular
4054,4054,defoam,defoamed,V;PST,+ed,Regular
4059,4059,marbelise,marbelised,V;PST,+d,Irregular
4061,4061,disorientate,disorientated,V;PST,+d,Irregular
4064,4064,rizzar,rizzared,V;PST,+ed,Regular
4067,4067,lenite,lenited,V;PST,+d,Irregular
4071,4071,preannounce,preannounced,V;PST,+d,Irregular
4072,4072,collar,collared,V;PST,+ed,Regular
4073,4073,faff,faffed,V;PST,+ed,Regular
4076,4076,embowel,embowelled,V;PST,double spell,Irregular
4078,4078,envolume,envolumed,V;PST,+d,Irregular
4079,4079,crater,cratered,V;PST,+ed,Regular
4082,4082,apricate,apricated,V;PST,+d,Irregular
4084,4084,charter,chartered,V;PST,+ed,Regular
4085,4085,glump,glumped,V;PST,+ed,Regular
4096,4096,counterseal,countersealed,V;PST,+ed,Regular
4103,4103,cophin,cophined,V;PST,+ed,Regular
4109,4109,pollicate,pollicated,V;PST,+d,Irregular
4121,4121,foresmell,foresmelt,V;PST,d-t,Irregular
4125,4125,watermark,watermarked,V;PST,+ed,Regular
4129,4129,screeve,screeved,V;PST,+d,Irregular
4131,4131,affoord,affoorded,V;PST,+ed,Regular
4139,4139,mercify,mercified,V;PST,y-ied,Irregular
4145,4145,couch,couched,V;PST,+ed,Regular
4147,4147,flier,fliered,V;PST,+ed,Regular
4152,4152,bolix,bolixed,V;PST,+ed,Regular
4158,4158,bespit,bespat,V;PST,special,Irregular
4161,4161,bequeath,bequoth,V;PST,special,Irregular
4166,4166,dewikify,dewikified,V;PST,y-ied,Irregular
4181,4181,beshake,beshook,V;PST,special,Irregular
4182,4182,lithotype,lithotyped,V;PST,+d,Irregular
4196,4196,assign,assigned,V;PST,+ed,Regular
4197,4197,snite,snited,V;PST,+d,Irregular
4203,4203,attaint,attainted,V;PST,+ed,Regular
4205,4205,retrodisplace,retrodisplaced,V;PST,+d,Irregular
4224,4224,exulcerate,exulcerated,V;PST,+d,Irregular
4231,4231,collateralize,collateralized,V;PST,+d,Irregular
4234,4234,mischarge,mischarged,V;PST,+d,Irregular
4241,4241,snub,snubbed,V;PST,double spell,Irregular
4244,4244,accolade,accoladed,V;PST,+d,Irregular
4252,4252,injunct,injuncted,V;PST,+ed,Regular
4255,4255,tautomerize,tautomerized,V;PST,+d,Irregular
4256,4256,mistransliterate,mistransliterated,V;PST,+d,Irregular
4259,4259,short,shorted,V;PST,+ed,Regular
4260,4260,circumcize,circumcized,V;PST,+d,Irregular
4263,4263,enblow,enblew,V;PST,special,Irregular
4270,4270,spelt,spelted,V;PST,+ed,Regular
4276,4276,regear,regeared,V;PST,+ed,Regular
4279,4279,toswink,toswank,V;PST,special,Irregular
4297,4297,indew,indewed,V;PST,+ed,Regular
4305,4305,overinfluence,overinfluenced,V;PST,+d,Irregular
4310,4310,imbrace,imbraced,V;PST,+d,Irregular
4316,4316,pornographize,pornographized,V;PST,+d,Irregular
4323,4323,lockpick,lockpicked,V;PST,+ed,Regular
4324,4324,steady,steadied,V;PST,y-ied,Irregular
4326,4326,resume,resumed,V;PST,+d,Irregular
4329,4329,slipstream,slipstreamed,V;PST,+ed,Regular
4330,4330,microregulate,microregulated,V;PST,+d,Irregular
4332,4332,interdigitate,interdigitated,V;PST,+d,Irregular
4340,4340,bescare,bescared,V;PST,+d,Irregular
4343,4343,intercede,interceded,V;PST,+d,Irregular
4351,4351,slue,slued,V;PST,+d,Irregular
4353,4353,sanctificate,sanctificated,V;PST,+d,Irregular
4365,4365,belull,belulled,V;PST,+ed,Regular
4373,4373,deliberate,deliberated,V;PST,+d,Irregular
4382,4382,beteach,betaught,V;PST,special,Irregular
4396,4396,tupe,tuped,V;PST,+d,Irregular
4403,4403,reindex,reindexed,V;PST,+ed,Regular
4409,4409,rechime,rechimed,V;PST,+d,Irregular
4412,4412,enharbour,enharboured,V;PST,+ed,Regular
4419,4419,abhor,abhorred,V;PST,double spell,Irregular
4423,4423,overtighten,overtightened,V;PST,+ed,Regular
4424,4424,nitpick,nitpicked,V;PST,+ed,Regular
4429,4429,accouter,accoutered,V;PST,+ed,Regular
4431,4431,solemnizate,solemnizated,V;PST,+d,Irregular
4441,4441,inwone,inwoned,V;PST,+d,Irregular
4452,4452,super,supered,V;PST,+ed,Regular
4453,4453,columnize,columnized,V;PST,+d,Irregular
4458,4458,bone,boned,V;PST,+d,Irregular
4459,4459,unloop,unlooped,V;PST,+ed,Regular
4460,4460,dinge,dinged,V;PST,+d,Irregular
4461,4461,dechrome,dechromed,V;PST,+d,Irregular
4467,4467,marble,marbled,V;PST,+d,Irregular
4469,4469,stipple,stippled,V;PST,+d,Irregular
4478,4478,rendre,rendred,V;PST,+d,Irregular
4480,4480,mechanise,mechanised,V;PST,+d,Irregular
4483,4483,parallel,parallelled,V;PST,double spell,Irregular
4484,4484,mischaracterise,mischaracterised,V;PST,+d,Irregular
4487,4487,underprescribe,underprescribed,V;PST,+d,Irregular
4500,4500,gmail,gmailed,V;PST,+ed,Regular
4503,4503,discipline,disciplined,V;PST,+d,Irregular
4506,4506,sprout,sprouted,V;PST,+ed,Regular
4510,4510,scur,scurred,V;PST,double spell,Irregular
4511,4511,lacquey,lacqueyed,V;PST,+ed,Regular
4515,4515,permeablise,permeabilised,V;PST,special,Irregular
4517,4517,hurkle,hurkled,V;PST,+d,Irregular
4519,4519,unrecord,unrecorded,V;PST,+ed,Regular
4520,4520,bituminise,bituminised,V;PST,+d,Irregular
4521,4521,overfuck,overfucked,V;PST,+ed,Regular
4529,4529,refuck,refucked,V;PST,+ed,Regular
4530,4530,twig,twigged,V;PST,double spell,Irregular
4531,4531,enecate,enecated,V;PST,+d,Irregular
4540,4540,expense,expensed,V;PST,+d,Irregular
4545,4545,siver,sivered,V;PST,+ed,Regular
4546,4546,numb,numbed,V;PST,+ed,Regular
4547,4547,stimulate,stimulated,V;PST,+d,Irregular
4552,4552,lip-synch,lip-synched,V;PST,+ed,Regular
4560,4560,deed,deeded,V;PST,+ed,Regular
4562,4562,gip,gipped,V;PST,double spell,Irregular
4575,4575,pollack,pollacked,V;PST,+ed,Regular
4577,4577,quartisect,quartisected,V;PST,+ed,Regular
4587,4587,ungender,ungendered,V;PST,+ed,Regular
4591,4591,extremize,extremized,V;PST,+d,Irregular
4594,4594,capitulate,capitulated,V;PST,+d,Irregular
4595,4595,quip,quipped,V;PST,double spell,Irregular
4597,4597,chance,chanced,V;PST,+d,Irregular
4604,4604,summarise,summarised,V;PST,+d,Irregular
4607,4607,jackass,jackassed,V;PST,+ed,Regular
4609,4609,bleb,blebbed,V;PST,double spell,Irregular
4610,4610,outflank,outflanked,V;PST,+ed,Regular
4611,4611,layaway,layawayed,V;PST,+ed,Regular
4617,4617,room,roomed,V;PST,+ed,Regular
4618,4618,recalc,recalced,V;PST,+ed,Regular
4619,4619,acylate,acylated,V;PST,+d,Irregular
4622,4622,air-dry,air-dried,V;PST,y-ied,Irregular
4623,4623,outstink,outstank,V;PST,special,Irregular
4627,4627,inthrong,inthronged,V;PST,+ed,Regular
4631,4631,outsail,outsailed,V;PST,+ed,Regular
4632,4632,torive,torived,V;PST,+d,Irregular
4634,4634,tyle,tyled,V;PST,+d,Irregular
4636,4636,outshine,outshone,V;PST,special,Irregular
4643,4643,chinwag,chinwagged,V;PST,double spell,Irregular
4645,4645,forthfare,forthfared,V;PST,+d,Irregular
4651,4651,document,documented,V;PST,+ed,Regular
4653,4653,hypostatize,hypostatized,V;PST,+d,Irregular
4658,4658,decensor,decensored,V;PST,+ed,Regular
4668,4668,refactorize,refactorized,V;PST,+d,Irregular
4686,4686,colorate,colorated,V;PST,+d,Irregular
4688,4688,dissert,disserted,V;PST,+ed,Regular
4704,4704,dispope,dispoped,V;PST,+d,Irregular
4709,4709,enstrengthen,enstrengthened,V;PST,+ed,Regular
4713,4713,enfasten,enfastened,V;PST,+ed,Regular
4715,4715,misconstruct,misconstructed,V;PST,+ed,Regular
4718,4718,van,vanned,V;PST,double spell,Irregular
4720,4720,up-regulate,up-regulated,V;PST,+d,Irregular
4729,4729,progress,progressed,V;PST,+ed,Regular
4730,4730,dishaunt,dishaunted,V;PST,+ed,Regular
4731,4731,graff,graffed,V;PST,+ed,Regular
4735,4735,tallyho,tallyhoed,V;PST,+ed,Regular
4740,4740,mart,marted,V;PST,+ed,Regular
4742,4742,midwive,midwived,V;PST,+d,Irregular
4746,4746,repost,reposted,V;PST,+ed,Regular
4756,4756,deglobalise,deglobalised,V;PST,+d,Irregular
4758,4758,spaniel,spanielled,V;PST,double spell,Irregular
4765,4765,overexercise,overexercised,V;PST,+d,Irregular
4768,4768,transrate,transrated,V;PST,+d,Irregular
4769,4769,yo-yo,yo-yoed,V;PST,+ed,Regular
4770,4770,brownnose,brownnosed,V;PST,+d,Irregular
4780,4780,yatter,yattered,V;PST,+ed,Regular
4782,4782,rôleplay,rôleplayed,V;PST,+ed,Regular
4788,4788,clusterfuck,clusterfucked,V;PST,+ed,Regular
4801,4801,refamiliarize,refamiliarized,V;PST,+d,Irregular
4808,4808,scurry,scurried,V;PST,y-ied,Irregular
4809,4809,novate,novated,V;PST,+d,Irregular
4811,4811,loid,loided,V;PST,+ed,Regular
4815,4815,poddy,poddied,V;PST,y-ied,Irregular
4821,4821,burn,burnt,V;PST,special,Irregular
4827,4827,resmudge,resmudged,V;PST,+d,Irregular
4829,4829,mishave,mishaved,V;PST,+d,Irregular
4833,4833,bemulce,bemulced,V;PST,+d,Irregular
4834,4834,demonstrate,demonstrated,V;PST,+d,Irregular
4839,4839,focalise,focalised,V;PST,+d,Irregular
4843,4843,iconify,iconified,V;PST,y-ied,Irregular
4848,4848,renaturalize,renaturalized,V;PST,+d,Irregular
4849,4849,frost,frosted,V;PST,+ed,Regular
4852,4852,moither,moithered,V;PST,+ed,Regular
4853,4853,withsay,withsaid,V;PST,special,Irregular
4854,4854,inbelch,inbelched,V;PST,+ed,Regular
4857,4857,gub,gubbed,V;PST,double spell,Irregular
4858,4858,chromium-plate,chromium-plated,V;PST,+d,Irregular
4864,4864,balbucinate,balbucinated,V;PST,+d,Irregular
4867,4867,boldface,boldfaced,V;PST,+d,Irregular
4872,4872,numerate,numerated,V;PST,+d,Irregular
4875,4875,sunnitize,sunnitized,V;PST,+d,Irregular
4877,4877,configure,configured,V;PST,+d,Irregular
4886,4886,stash,stashed,V;PST,+ed,Regular
4891,4891,overdreep,overdreeped,V;PST,+ed,Regular
4894,4894,english,englished,V;PST,+ed,Regular
4898,4898,rebleed,rebled,V;PST,special,Irregular
4907,4907,kotow,kotowed,V;PST,+ed,Regular
4908,4908,devove,devoved,V;PST,+d,Irregular
4925,4925,forray,forrayed,V;PST,+ed,Regular
4927,4927,economize,economized,V;PST,+d,Irregular
4928,4928,incremate,incremated,V;PST,+d,Irregular
4936,4936,gi,gied,V;PST,+ed,Regular
4939,4939,destandardize,destandardized,V;PST,+d,Irregular
4942,4942,outmount,outmounted,V;PST,+ed,Regular
4947,4947,plastre,plastred,V;PST,+d,Irregular
4952,4952,balance,balanced,V;PST,+d,Irregular
4965,4965,hence,henced,V;PST,+d,Irregular
4978,4978,wallop,wallopped,V;PST,double spell,Irregular
