,index,root,inflection,tag,rule,reg
1977,1977,reimbue,reimbuing,V;V.PTCP;PRS,-e+ing,Irregular
1980,1980,droil,droiling,V;V.PTCP;PRS,+ing,Regular
2003,2003,rehide,rehiding,V;V.PTCP;PRS,-e+ing,Irregular
2006,2006,sketch,sketching,V;V.PTCP;PRS,+ing,Regular
2029,2029,air-dry,air-drying,V;V.PTCP;PRS,+ing,Regular
2032,2032,underearn,underearning,V;V.PTCP;PRS,+ing,Regular
2042,2042,choake,choaking,V;V.PTCP;PRS,-e+ing,Irregular
2045,2045,decease,deceasing,V;V.PTCP;PRS,-e+ing,Irregular
2046,2046,newmodelize,newmodelizing,V;V.PTCP;PRS,-e+ing,Irregular
2057,2057,monologise,monologising,V;V.PTCP;PRS,-e+ing,Irregular
2059,2059,strinkle,strinkling,V;V.PTCP;PRS,-e+ing,Irregular
2069,2069,din,dinning,V;V.PTCP;PRS,double spell,Irregular
2073,2073,coppice,coppicing,V;V.PTCP;PRS,-e+ing,Irregular
2088,2088,bedole,bedoling,V;V.PTCP;PRS,-e+ing,Irregular
2090,2090,leg,legging,V;V.PTCP;PRS,double spell,Irregular
2093,2093,pittle-pattle,pittle-pattling,V;V.PTCP;PRS,-e+ing,Irregular
2110,2110,pregage,pregaging,V;V.PTCP;PRS,-e+ing,Irregular
2112,2112,pedestalize,pedestalizing,V;V.PTCP;PRS,-e+ing,Irregular
2117,2117,gold,golding,V;V.PTCP;PRS,+ing,Regular
2120,2120,sheet,sheeting,V;V.PTCP;PRS,+ing,Regular
2124,2124,underwater,underwatering,V;V.PTCP;PRS,+ing,Regular
2127,2127,besplash,besplashing,V;V.PTCP;PRS,+ing,Regular
2131,2131,beflee,befleeing,V;V.PTCP;PRS,+ing,Regular
2135,2135,dollarize,dollarizing,V;V.PTCP;PRS,-e+ing,Irregular
2142,2142,stodge,stodging,V;V.PTCP;PRS,-e+ing,Irregular
2144,2144,renter,rentering,V;V.PTCP;PRS,+ing,Regular
2149,2149,harness,harnessing,V;V.PTCP;PRS,+ing,Regular
2150,2150,bespurt,bespurting,V;V.PTCP;PRS,+ing,Regular
2159,2159,unsqueeze,unsqueezing,V;V.PTCP;PRS,-e+ing,Irregular
2164,2164,perscopate,perscopating,V;V.PTCP;PRS,-e+ing,Irregular
2167,2167,jambok,jambokking,V;V.PTCP;PRS,double spell,Irregular
2171,2171,amate,amating,V;V.PTCP;PRS,-e+ing,Irregular
2180,2180,swindle,swindling,V;V.PTCP;PRS,-e+ing,Irregular
2190,2190,illiberalize,illiberalizing,V;V.PTCP;PRS,-e+ing,Irregular
2194,2194,astrologize,astrologizing,V;V.PTCP;PRS,-e+ing,Irregular
2201,2201,excommunicate,excommunicating,V;V.PTCP;PRS,-e+ing,Irregular
2206,2206,salinise,salinising,V;V.PTCP;PRS,-e+ing,Irregular
2215,2215,departmentalise,departmentalising,V;V.PTCP;PRS,-e+ing,Irregular
2216,2216,phenocopy,phenocopying,V;V.PTCP;PRS,+ing,Regular
2218,2218,dehull,dehulling,V;V.PTCP;PRS,+ing,Regular
2226,2226,umpire,umpiring,V;V.PTCP;PRS,-e+ing,Irregular
2228,2228,campaign,campaigning,V;V.PTCP;PRS,+ing,Regular
2231,2231,barrack,barracking,V;V.PTCP;PRS,+ing,Regular
2238,2238,dishabituate,dishabituating,V;V.PTCP;PRS,-e+ing,Irregular
2242,2242,stallfeed,stallfeeding,V;V.PTCP;PRS,+ing,Regular
2259,2259,benchmark,benchmarking,V;V.PTCP;PRS,+ing,Regular
2264,2264,outwait,outwaiting,V;V.PTCP;PRS,+ing,Regular
2268,2268,jackknife,jackknifing,V;V.PTCP;PRS,-e+ing,Irregular
2269,2269,black,blacking,V;V.PTCP;PRS,+ing,Regular
2272,2272,baulk,baulking,V;V.PTCP;PRS,+ing,Regular
2284,2284,belive,beliving,V;V.PTCP;PRS,-e+ing,Irregular
2289,2289,unclew,unclewing,V;V.PTCP;PRS,+ing,Regular
2294,2294,display,displaying,V;V.PTCP;PRS,+ing,Regular
2307,2307,cully,cullying,V;V.PTCP;PRS,+ing,Regular
2316,2316,reprioritize,reprioritizing,V;V.PTCP;PRS,-e+ing,Irregular
2325,2325,misbuild,misbuilding,V;V.PTCP;PRS,+ing,Regular
2329,2329,canton,cantoning,V;V.PTCP;PRS,+ing,Regular
2343,2343,refound,refounding,V;V.PTCP;PRS,+ing,Regular
2351,2351,silk,silking,V;V.PTCP;PRS,+ing,Regular
2354,2354,dealign,dealigning,V;V.PTCP;PRS,+ing,Regular
2356,2356,bedear,bedearing,V;V.PTCP;PRS,+ing,Regular
2358,2358,æstheticize,æstheticizing,V;V.PTCP;PRS,-e+ing,Irregular
2362,2362,cretinise,cretinising,V;V.PTCP;PRS,-e+ing,Irregular
2364,2364,rivel,rivelling,V;V.PTCP;PRS,double spell,Irregular
2366,2366,enslave,enslaving,V;V.PTCP;PRS,-e+ing,Irregular
2368,2368,underserve,underserving,V;V.PTCP;PRS,-e+ing,Irregular
2370,2370,anticize,anticizing,V;V.PTCP;PRS,-e+ing,Irregular
2372,2372,cell,celling,V;V.PTCP;PRS,+ing,Regular
2374,2374,behoney,behoneying,V;V.PTCP;PRS,+ing,Regular
2377,2377,rebegin,rebeginning,V;V.PTCP;PRS,double spell,Irregular
2381,2381,underkeep,underkeeping,V;V.PTCP;PRS,+ing,Regular
2399,2399,discage,discaging,V;V.PTCP;PRS,-e+ing,Irregular
2403,2403,bedeafen,bedeafening,V;V.PTCP;PRS,+ing,Regular
2411,2411,unkennel,unkenneling,V;V.PTCP;PRS,+ing,Regular
2417,2417,onshore,onshoring,V;V.PTCP;PRS,-e+ing,Irregular
2419,2419,caper,capering,V;V.PTCP;PRS,+ing,Regular
2421,2421,plateau,plateauing,V;V.PTCP;PRS,+ing,Regular
2425,2425,reënact,reënacting,V;V.PTCP;PRS,+ing,Regular
2426,2426,englishify,englishifying,V;V.PTCP;PRS,+ing,Regular
2439,2439,enlute,enluting,V;V.PTCP;PRS,-e+ing,Irregular
2441,2441,jib,jibbing,V;V.PTCP;PRS,double spell,Irregular
2446,2446,japan,japanning,V;V.PTCP;PRS,double spell,Irregular
2447,2447,distribute,distributing,V;V.PTCP;PRS,-e+ing,Irregular
2450,2450,weatherproof,weatherproofing,V;V.PTCP;PRS,+ing,Regular
2457,2457,smerk,smerking,V;V.PTCP;PRS,+ing,Regular
2458,2458,impel,impelling,V;V.PTCP;PRS,double spell,Irregular
2459,2459,iranianise,iranianising,V;V.PTCP;PRS,-e+ing,Irregular
2463,2463,re-sign,re-signing,V;V.PTCP;PRS,+ing,Regular
2466,2466,updive,updiving,V;V.PTCP;PRS,-e+ing,Irregular
2468,2468,unmasculate,unmasculating,V;V.PTCP;PRS,-e+ing,Irregular
2472,2472,vary,varying,V;V.PTCP;PRS,+ing,Regular
2473,2473,sextuple,sextupling,V;V.PTCP;PRS,-e+ing,Irregular
2481,2481,stiltify,stiltifying,V;V.PTCP;PRS,+ing,Regular
2490,2490,unsully,unsullying,V;V.PTCP;PRS,+ing,Regular
2504,2504,hinge,hinging,V;V.PTCP;PRS,-e+ing,Irregular
2505,2505,annoint,annointing,V;V.PTCP;PRS,+ing,Regular
2507,2507,marvel,marvelling,V;V.PTCP;PRS,double spell,Irregular
2512,2512,recur,recurring,V;V.PTCP;PRS,double spell,Irregular
2514,2514,pritch,pritching,V;V.PTCP;PRS,+ing,Regular
2517,2517,footnote,footnoting,V;V.PTCP;PRS,-e+ing,Irregular
2518,2518,inlighten,inlightening,V;V.PTCP;PRS,+ing,Regular
2521,2521,nail,nailing,V;V.PTCP;PRS,+ing,Regular
2531,2531,flex,flexing,V;V.PTCP;PRS,+ing,Regular
2541,2541,kegel,kegeling,V;V.PTCP;PRS,+ing,Regular
2542,2542,key,keying,V;V.PTCP;PRS,+ing,Regular
2558,2558,prerequire,prerequiring,V;V.PTCP;PRS,-e+ing,Irregular
2561,2561,revalue,revaluing,V;V.PTCP;PRS,-e+ing,Irregular
2562,2562,narrativise,narrativising,V;V.PTCP;PRS,-e+ing,Irregular
2565,2565,subcategorise,subcategorising,V;V.PTCP;PRS,-e+ing,Irregular
2566,2566,rameish,rameishing,V;V.PTCP;PRS,+ing,Regular
2570,2570,herbarize,herbarizing,V;V.PTCP;PRS,-e+ing,Irregular
2572,2572,conflagrate,conflagrating,V;V.PTCP;PRS,-e+ing,Irregular
2573,2573,recapitate,recapitating,V;V.PTCP;PRS,-e+ing,Irregular
2576,2576,re-fuse,re-fusing,V;V.PTCP;PRS,-e+ing,Irregular
2577,2577,hang-glide,hang-gliding,V;V.PTCP;PRS,-e+ing,Irregular
2579,2579,right-click,right-clicking,V;V.PTCP;PRS,+ing,Regular
2581,2581,demagogue,demagoguing,V;V.PTCP;PRS,-e+ing,Irregular
2589,2589,bedangle,bedangling,V;V.PTCP;PRS,-e+ing,Irregular
2594,2594,charioteer,charioteering,V;V.PTCP;PRS,+ing,Regular
2595,2595,inhabitate,inhabitating,V;V.PTCP;PRS,-e+ing,Irregular
2600,2600,disembarrass,disembarrassing,V;V.PTCP;PRS,+ing,Regular
2602,2602,touzle,touzling,V;V.PTCP;PRS,-e+ing,Irregular
2608,2608,drift,drifting,V;V.PTCP;PRS,+ing,Regular
2611,2611,earn,earning,V;V.PTCP;PRS,+ing,Regular
2614,2614,welter,weltering,V;V.PTCP;PRS,+ing,Regular
2615,2615,genderfuck,genderfucking,V;V.PTCP;PRS,+ing,Regular
2624,2624,configure,configuring,V;V.PTCP;PRS,-e+ing,Irregular
2642,2642,outrush,outrushing,V;V.PTCP;PRS,+ing,Regular
2651,2651,flurt,flurting,V;V.PTCP;PRS,+ing,Regular
2655,2655,disacidify,disacidifying,V;V.PTCP;PRS,+ing,Regular
2658,2658,beclip,beclipping,V;V.PTCP;PRS,double spell,Irregular
2659,2659,snithe,snithing,V;V.PTCP;PRS,-e+ing,Irregular
2669,2669,unfret,unfretting,V;V.PTCP;PRS,double spell,Irregular
2680,2680,enlock,enlocking,V;V.PTCP;PRS,+ing,Regular
2684,2684,inflex,inflexing,V;V.PTCP;PRS,+ing,Regular
2685,2685,anagrammatise,anagrammatising,V;V.PTCP;PRS,-e+ing,Irregular
2686,2686,attemper,attempering,V;V.PTCP;PRS,+ing,Regular
2694,2694,overcommunicate,overcommunicating,V;V.PTCP;PRS,-e+ing,Irregular
2695,2695,forecall,forecalling,V;V.PTCP;PRS,+ing,Regular
2704,2704,stog,stogging,V;V.PTCP;PRS,double spell,Irregular
2709,2709,undight,undighting,V;V.PTCP;PRS,+ing,Regular
2713,2713,exfiltrate,exfiltrating,V;V.PTCP;PRS,-e+ing,Irregular
2714,2714,acervate,acervating,V;V.PTCP;PRS,-e+ing,Irregular
2716,2716,indurate,indurating,V;V.PTCP;PRS,-e+ing,Irregular
2737,2737,enflower,enflowering,V;V.PTCP;PRS,+ing,Regular
2767,2767,inlist,inlisting,V;V.PTCP;PRS,+ing,Regular
2771,2771,indamage,indamaging,V;V.PTCP;PRS,-e+ing,Irregular
2774,2774,acquit,acquitting,V;V.PTCP;PRS,double spell,Irregular
2776,2776,gloar,gloaring,V;V.PTCP;PRS,+ing,Regular
2782,2782,recohere,recohering,V;V.PTCP;PRS,-e+ing,Irregular
2785,2785,polonize,polonizing,V;V.PTCP;PRS,-e+ing,Irregular
2791,2791,profiteer,profiteering,V;V.PTCP;PRS,+ing,Regular
2796,2796,beshut,beshutting,V;V.PTCP;PRS,double spell,Irregular
2806,2806,miscommunicate,miscommunicating,V;V.PTCP;PRS,-e+ing,Irregular
2813,2813,resubmerge,resubmerging,V;V.PTCP;PRS,-e+ing,Irregular
2820,2820,polymerise,polymerising,V;V.PTCP;PRS,-e+ing,Irregular
2824,2824,surge,surging,V;V.PTCP;PRS,-e+ing,Irregular
2828,2828,gauge,gauging,V;V.PTCP;PRS,-e+ing,Irregular
2830,2830,derp,derping,V;V.PTCP;PRS,+ing,Regular
2831,2831,drite,driting,V;V.PTCP;PRS,-e+ing,Irregular
2844,2844,constitutionalize,constitutionalizing,V;V.PTCP;PRS,-e+ing,Irregular
2845,2845,attest,attesting,V;V.PTCP;PRS,+ing,Regular
2846,2846,self-sabotage,self-sabotaging,V;V.PTCP;PRS,-e+ing,Irregular
2847,2847,grate,grating,V;V.PTCP;PRS,-e+ing,Irregular
2851,2851,permeablise,permeabilising,V;V.PTCP;PRS,special,Irregular
2852,2852,awfulize,awfulizing,V;V.PTCP;PRS,-e+ing,Irregular
2854,2854,stap,stapping,V;V.PTCP;PRS,double spell,Irregular
2857,2857,wardrive,wardriving,V;V.PTCP;PRS,-e+ing,Irregular
2860,2860,emplane,emplaning,V;V.PTCP;PRS,-e+ing,Irregular
2871,2871,defrock,defrocking,V;V.PTCP;PRS,+ing,Regular
2884,2884,oscillate,oscillating,V;V.PTCP;PRS,-e+ing,Irregular
2886,2886,besleeve,besleeving,V;V.PTCP;PRS,-e+ing,Irregular
2900,2900,grift,grifting,V;V.PTCP;PRS,+ing,Regular
2903,2903,venesect,venesecting,V;V.PTCP;PRS,+ing,Regular
2911,2911,deturbate,deturbating,V;V.PTCP;PRS,-e+ing,Irregular
2912,2912,girlcott,girlcotting,V;V.PTCP;PRS,+ing,Regular
2915,2915,delustre,delustring,V;V.PTCP;PRS,-e+ing,Irregular
2917,2917,upthunder,upthundering,V;V.PTCP;PRS,+ing,Regular
2919,2919,hie,hying,V;V.PTCP;PRS,special,Irregular
2921,2921,creed,creeding,V;V.PTCP;PRS,+ing,Regular
2922,2922,confeder,confedering,V;V.PTCP;PRS,+ing,Regular
2931,2931,power-walk,power-walking,V;V.PTCP;PRS,+ing,Regular
2935,2935,deal,dealing,V;V.PTCP;PRS,+ing,Regular
2939,2939,pedestrianise,pedestrianising,V;V.PTCP;PRS,-e+ing,Irregular
2949,2949,smore,smoring,V;V.PTCP;PRS,-e+ing,Irregular
2950,2950,checkerboard,checkerboarding,V;V.PTCP;PRS,+ing,Regular
2953,2953,methodize,methodizing,V;V.PTCP;PRS,-e+ing,Irregular
2965,2965,limewash,limewashing,V;V.PTCP;PRS,+ing,Regular
2976,2976,instaure,instauring,V;V.PTCP;PRS,-e+ing,Irregular
2977,2977,dextrinize,dextrinizing,V;V.PTCP;PRS,-e+ing,Irregular
2978,2978,readminister,readministering,V;V.PTCP;PRS,+ing,Regular
2986,2986,card,carding,V;V.PTCP;PRS,+ing,Regular
2999,2999,geocode,geocoding,V;V.PTCP;PRS,-e+ing,Irregular
3013,3013,crystalise,crystalising,V;V.PTCP;PRS,-e+ing,Irregular
3014,3014,verbify,verbifying,V;V.PTCP;PRS,+ing,Regular
3018,3018,overcook,overcooking,V;V.PTCP;PRS,+ing,Regular
3029,3029,banister,banistering,V;V.PTCP;PRS,+ing,Regular
3031,3031,disco,discoing,V;V.PTCP;PRS,+ing,Regular
3032,3032,diphthongise,diphthongising,V;V.PTCP;PRS,-e+ing,Irregular
3039,3039,uprouse,uprousing,V;V.PTCP;PRS,-e+ing,Irregular
3042,3042,kiteboard,kiteboarding,V;V.PTCP;PRS,+ing,Regular
3049,3049,member,membering,V;V.PTCP;PRS,+ing,Regular
3054,3054,outdream,outdreaming,V;V.PTCP;PRS,+ing,Regular
3060,3060,mister,mistering,V;V.PTCP;PRS,+ing,Regular
3061,3061,robe,robing,V;V.PTCP;PRS,-e+ing,Irregular
3062,3062,spute,sputing,V;V.PTCP;PRS,-e+ing,Irregular
3069,3069,oversit,oversitting,V;V.PTCP;PRS,double spell,Irregular
3070,3070,bastinade,bastinading,V;V.PTCP;PRS,-e+ing,Irregular
3074,3074,bedight,bedighting,V;V.PTCP;PRS,+ing,Regular
3075,3075,enlay,enlaying,V;V.PTCP;PRS,+ing,Regular
3085,3085,rhapsodize,rhapsodizing,V;V.PTCP;PRS,-e+ing,Irregular
3091,3091,etherise,etherising,V;V.PTCP;PRS,-e+ing,Irregular
3100,3100,tod,todding,V;V.PTCP;PRS,double spell,Irregular
3108,3108,proselytize,proselytizing,V;V.PTCP;PRS,-e+ing,Irregular
3109,3109,unhoard,unhoarding,V;V.PTCP;PRS,+ing,Regular
3114,3114,reverse-engineer,reverse-engineering,V;V.PTCP;PRS,+ing,Regular
3115,3115,unlaw,unlawing,V;V.PTCP;PRS,+ing,Regular
3122,3122,beshout,beshouting,V;V.PTCP;PRS,+ing,Regular
3131,3131,hit,hitting,V;V.PTCP;PRS,double spell,Irregular
3132,3132,shatter,shattering,V;V.PTCP;PRS,+ing,Regular
3142,3142,covenaunt,covenaunting,V;V.PTCP;PRS,+ing,Regular
3154,3154,denarrativize,denarrativizing,V;V.PTCP;PRS,-e+ing,Irregular
3164,3164,autocatalyze,autocatalyzing,V;V.PTCP;PRS,-e+ing,Irregular
3177,3177,classicize,classicizing,V;V.PTCP;PRS,-e+ing,Irregular
3179,3179,mainline,mainlining,V;V.PTCP;PRS,-e+ing,Irregular
3182,3182,subaid,subaiding,V;V.PTCP;PRS,+ing,Regular
3191,3191,incumber,incumbering,V;V.PTCP;PRS,+ing,Regular
3205,3205,rebecome,rebecoming,V;V.PTCP;PRS,-e+ing,Irregular
3209,3209,sentimentalize,sentimentalizing,V;V.PTCP;PRS,-e+ing,Irregular
3210,3210,squelch,squelching,V;V.PTCP;PRS,+ing,Regular
3214,3214,turbinate,turbinating,V;V.PTCP;PRS,-e+ing,Irregular
3220,3220,metricate,metricating,V;V.PTCP;PRS,-e+ing,Irregular
3222,3222,symlink,symlinking,V;V.PTCP;PRS,+ing,Regular
3225,3225,chaperone,chaperoning,V;V.PTCP;PRS,-e+ing,Irregular
3241,3241,fiddle,fiddling,V;V.PTCP;PRS,-e+ing,Irregular
3242,3242,unglorify,unglorifying,V;V.PTCP;PRS,+ing,Regular
3255,3255,lout,louting,V;V.PTCP;PRS,+ing,Regular
3256,3256,slink,slinking,V;V.PTCP;PRS,+ing,Regular
3257,3257,crumble,crumbling,V;V.PTCP;PRS,-e+ing,Irregular
3260,3260,escape,escaping,V;V.PTCP;PRS,-e+ing,Irregular
3267,3267,reacquire,reacquiring,V;V.PTCP;PRS,-e+ing,Irregular
3271,3271,tent,tenting,V;V.PTCP;PRS,+ing,Regular
3274,3274,prevene,prevening,V;V.PTCP;PRS,-e+ing,Irregular
3276,3276,marbelize,marbelizing,V;V.PTCP;PRS,-e+ing,Irregular
3281,3281,thrust,thrusting,V;V.PTCP;PRS,+ing,Regular
3282,3282,transpose,transposing,V;V.PTCP;PRS,-e+ing,Irregular
3294,3294,miscalculate,miscalculating,V;V.PTCP;PRS,-e+ing,Irregular
3295,3295,despair,despairing,V;V.PTCP;PRS,+ing,Regular
3301,3301,command,commanding,V;V.PTCP;PRS,+ing,Regular
3310,3310,tyndallize,tyndallizing,V;V.PTCP;PRS,-e+ing,Irregular
3314,3314,reeve,reeving,V;V.PTCP;PRS,-e+ing,Irregular
3316,3316,ungird,ungirding,V;V.PTCP;PRS,+ing,Regular
3331,3331,underprize,underprizing,V;V.PTCP;PRS,-e+ing,Irregular
3335,3335,disintegrate,disintegrating,V;V.PTCP;PRS,-e+ing,Irregular
3339,3339,brazen,brazening,V;V.PTCP;PRS,+ing,Regular
3343,3343,slot,slotting,V;V.PTCP;PRS,double spell,Irregular
3345,3345,eviscerate,eviscerating,V;V.PTCP;PRS,-e+ing,Irregular
3347,3347,beatificate,beatificating,V;V.PTCP;PRS,-e+ing,Irregular
3348,3348,postscore,postscoring,V;V.PTCP;PRS,-e+ing,Irregular
3357,3357,overspring,overspringing,V;V.PTCP;PRS,+ing,Regular
3360,3360,bullock,bullocking,V;V.PTCP;PRS,+ing,Regular
3372,3372,iodinate,iodinating,V;V.PTCP;PRS,-e+ing,Irregular
3374,3374,womble,wombling,V;V.PTCP;PRS,-e+ing,Irregular
3375,3375,misdial,misdialling,V;V.PTCP;PRS,double spell,Irregular
3377,3377,beguyle,beguyling,V;V.PTCP;PRS,-e+ing,Irregular
3379,3379,tan,tanning,V;V.PTCP;PRS,double spell,Irregular
3381,3381,relieve,relieving,V;V.PTCP;PRS,-e+ing,Irregular
3388,3388,itemise,itemising,V;V.PTCP;PRS,-e+ing,Irregular
3389,3389,wheeze,wheezing,V;V.PTCP;PRS,-e+ing,Irregular
3390,3390,unsluice,unsluicing,V;V.PTCP;PRS,-e+ing,Irregular
3391,3391,provant,provanting,V;V.PTCP;PRS,+ing,Regular
3394,3394,jeer,jeering,V;V.PTCP;PRS,+ing,Regular
3396,3396,hornswoggle,hornswoggling,V;V.PTCP;PRS,-e+ing,Irregular
3401,3401,enstraiten,enstraitening,V;V.PTCP;PRS,+ing,Regular
3403,3403,astonish,astonishing,V;V.PTCP;PRS,+ing,Regular
3408,3408,conceptualise,conceptualising,V;V.PTCP;PRS,-e+ing,Irregular
3419,3419,affright,affrighting,V;V.PTCP;PRS,+ing,Regular
3433,3433,derail,derailing,V;V.PTCP;PRS,+ing,Regular
3436,3436,repudiate,repudiating,V;V.PTCP;PRS,-e+ing,Irregular
3437,3437,underoptimize,underoptimizing,V;V.PTCP;PRS,-e+ing,Irregular
3439,3439,kiss,kissing,V;V.PTCP;PRS,+ing,Regular
3442,3442,pith,pithing,V;V.PTCP;PRS,+ing,Regular
3445,3445,spiderweb,spiderwebbing,V;V.PTCP;PRS,double spell,Irregular
3446,3446,bag,bagging,V;V.PTCP;PRS,double spell,Irregular
3455,3455,outbear,outbearing,V;V.PTCP;PRS,+ing,Regular
3462,3462,write-off,writing-off,V;V.PTCP;PRS,special,Irregular
3464,3464,unweave,unweaving,V;V.PTCP;PRS,-e+ing,Irregular
3471,3471,cricket,cricketing,V;V.PTCP;PRS,+ing,Regular
3474,3474,forereach,forereaching,V;V.PTCP;PRS,+ing,Regular
3481,3481,overstand,overstanding,V;V.PTCP;PRS,+ing,Regular
3492,3492,suggilate,suggilating,V;V.PTCP;PRS,-e+ing,Irregular
3516,3516,forward,forwarding,V;V.PTCP;PRS,+ing,Regular
3517,3517,baste,basting,V;V.PTCP;PRS,-e+ing,Irregular
3519,3519,transcode,transcoding,V;V.PTCP;PRS,-e+ing,Irregular
3521,3521,unplat,unplatting,V;V.PTCP;PRS,double spell,Irregular
3522,3522,yowl,yowling,V;V.PTCP;PRS,+ing,Regular
3523,3523,handknit,handknitting,V;V.PTCP;PRS,double spell,Irregular
3525,3525,breech,breeching,V;V.PTCP;PRS,+ing,Regular
3534,3534,disavaunce,disavauncing,V;V.PTCP;PRS,-e+ing,Irregular
3539,3539,degazette,degazetting,V;V.PTCP;PRS,-e+ing,Irregular
3551,3551,prune,pruning,V;V.PTCP;PRS,-e+ing,Irregular
3557,3557,battel,battelling,V;V.PTCP;PRS,double spell,Irregular
3558,3558,impetrate,impetrating,V;V.PTCP;PRS,-e+ing,Irregular
3571,3571,interiorize,interiorizing,V;V.PTCP;PRS,-e+ing,Irregular
3578,3578,decouple,decoupling,V;V.PTCP;PRS,-e+ing,Irregular
3582,3582,whiffle,whiffling,V;V.PTCP;PRS,-e+ing,Irregular
3583,3583,tour,touring,V;V.PTCP;PRS,+ing,Regular
3590,3590,autoformat,autoformatting,V;V.PTCP;PRS,double spell,Irregular
3595,3595,rawhide,rawhiding,V;V.PTCP;PRS,-e+ing,Irregular
3602,3602,tallage,tallaging,V;V.PTCP;PRS,-e+ing,Irregular
3603,3603,impatronize,impatronizing,V;V.PTCP;PRS,-e+ing,Irregular
3607,3607,dispend,dispending,V;V.PTCP;PRS,+ing,Regular
3610,3610,radiotag,radiotagging,V;V.PTCP;PRS,double spell,Irregular
3612,3612,unmast,unmasting,V;V.PTCP;PRS,+ing,Regular
3614,3614,scug,scugging,V;V.PTCP;PRS,double spell,Irregular
3616,3616,mammonize,mammonizing,V;V.PTCP;PRS,-e+ing,Irregular
3619,3619,ingo,inwent,V;V.PTCP;PRS,special,Irregular
3620,3620,stomach,stomaching,V;V.PTCP;PRS,+ing,Regular
3622,3622,apprehend,apprehending,V;V.PTCP;PRS,+ing,Regular
3630,3630,oophorectomize,oophorectomizing,V;V.PTCP;PRS,-e+ing,Irregular
3632,3632,greaseproof,greaseproofing,V;V.PTCP;PRS,+ing,Regular
3643,3643,divisionalize,divisionalizing,V;V.PTCP;PRS,-e+ing,Irregular
3645,3645,wardrobe,wardrobing,V;V.PTCP;PRS,-e+ing,Irregular
3649,3649,forshape,forshaping,V;V.PTCP;PRS,-e+ing,Irregular
3650,3650,betongue,betonguing,V;V.PTCP;PRS,-e+ing,Irregular
3653,3653,assemble,assembling,V;V.PTCP;PRS,-e+ing,Irregular
3654,3654,navigate,navigating,V;V.PTCP;PRS,-e+ing,Irregular
3662,3662,reglucosylate,reglucosylating,V;V.PTCP;PRS,-e+ing,Irregular
3669,3669,skooch,skooching,V;V.PTCP;PRS,+ing,Regular
3671,3671,hash,hashing,V;V.PTCP;PRS,+ing,Regular
3672,3672,mistrain,mistraining,V;V.PTCP;PRS,+ing,Regular
3675,3675,friggle,friggling,V;V.PTCP;PRS,-e+ing,Irregular
3677,3677,becry,becrying,V;V.PTCP;PRS,+ing,Regular
3678,3678,toquake,toquaking,V;V.PTCP;PRS,-e+ing,Irregular
3688,3688,colorate,colorating,V;V.PTCP;PRS,-e+ing,Irregular
3691,3691,roleplay,roleplaying,V;V.PTCP;PRS,+ing,Regular
3693,3693,tush,tushing,V;V.PTCP;PRS,+ing,Regular
3702,3702,drop-kick,drop-kicking,V;V.PTCP;PRS,+ing,Regular
3709,3709,wiccanize,wiccanizing,V;V.PTCP;PRS,-e+ing,Irregular
3714,3714,magnetise,magnetising,V;V.PTCP;PRS,-e+ing,Irregular
3724,3724,etherify,etherifying,V;V.PTCP;PRS,+ing,Regular
3730,3730,scrunt,scrunting,V;V.PTCP;PRS,+ing,Regular
3736,3736,de-emulsify,de-emulsifying,V;V.PTCP;PRS,+ing,Regular
3740,3740,ditch,ditching,V;V.PTCP;PRS,+ing,Regular
3745,3745,containerize,containerizing,V;V.PTCP;PRS,-e+ing,Irregular
3760,3760,spawn,spawning,V;V.PTCP;PRS,+ing,Regular
3767,3767,kife,kifing,V;V.PTCP;PRS,-e+ing,Irregular
3769,3769,taint,tainting,V;V.PTCP;PRS,+ing,Regular
3773,3773,trichotomize,trichotomizing,V;V.PTCP;PRS,-e+ing,Irregular
3781,3781,misfile,misfiling,V;V.PTCP;PRS,-e+ing,Irregular
3784,3784,video,videoing,V;V.PTCP;PRS,+ing,Regular
3788,3788,misanalyse,misanalysing,V;V.PTCP;PRS,-e+ing,Irregular
3794,3794,manufacture,manufacturing,V;V.PTCP;PRS,-e+ing,Irregular
3798,3798,disincarcerate,disincarcerating,V;V.PTCP;PRS,-e+ing,Irregular
3801,3801,handle,handling,V;V.PTCP;PRS,-e+ing,Irregular
3810,3810,overjustify,overjustifying,V;V.PTCP;PRS,+ing,Regular
3814,3814,erase,erasing,V;V.PTCP;PRS,-e+ing,Irregular
3818,3818,unwrinkle,unwrinkling,V;V.PTCP;PRS,-e+ing,Irregular
3824,3824,hurray,hurraying,V;V.PTCP;PRS,+ing,Regular
3828,3828,lash,lashing,V;V.PTCP;PRS,+ing,Regular
3829,3829,louche,louching,V;V.PTCP;PRS,-e+ing,Irregular
3832,3832,autoamputate,autoamputating,V;V.PTCP;PRS,-e+ing,Irregular
3841,3841,herniate,herniating,V;V.PTCP;PRS,-e+ing,Irregular
3846,3846,recce,recceing,V;V.PTCP;PRS,+ing,Regular
3857,3857,repartee,reparteeing,V;V.PTCP;PRS,+ing,Regular
3860,3860,cameltoe,cameltoeing,V;V.PTCP;PRS,+ing,Regular
3863,3863,elenchize,elenchizing,V;V.PTCP;PRS,-e+ing,Irregular
3875,3875,ingross,ingrossing,V;V.PTCP;PRS,+ing,Regular
3876,3876,slive,sliving,V;V.PTCP;PRS,-e+ing,Irregular
