	Index	root	inflection	tag	rule	reg	diff	count	each count
2492	2492	grab	grabbed	V;V.PTCP;PST	double spell	Irregular	-bed	16	9
2493	2493	hearten	heartened	V;PST	+ed	Regular	-ed	1605	817
2494	2494	lek	lekked	V;PST	double spell	Irregular	-ked	9	4
2495	2495	survive	survive	V;NFIN	no change	Regular	-	2035	2008
2496	2496	marl	marled	V;V.PTCP;PST	+ed	Regular	-ed	1605	788
2497	2497	undeify	undeified	V;PST	y-ied	Irregular	y-ied	145	79
2498	2498	transverberate	transverberated	V;PST	+d	Irregular	-d	1718	856
2499	2499	foreannounce	foreannounced	V;V.PTCP;PST	+d	Irregular	-d	1718	862
2500	2500	reoffer	reoffered	V;V.PTCP;PST	+ed	Regular	-ed	1605	788
2501	2501	upset	upset	V;NFIN	no change	Regular	-	2035	2008
2502	2502	forlay	forlay	V;NFIN	no change	Regular	-	2035	2008
2503	2503	replevin	replevin	V;NFIN	no change	Regular	-	2035	2008
2504	2504	hinge	hinging	V;V.PTCP;PRS	-e+ing	Irregular	e-ing	832	831
2505	2505	annoint	annointing	V;V.PTCP;PRS	+ing	Regular	-ing	949	949
2506	2506	manscape	manscaped	V;PST	+d	Irregular	-d	1718	856
2507	2507	marvel	marvelling	V;V.PTCP;PRS	double spell	Irregular	-ling	20	20
2508	2508	misbecome	misbecomes	V;3;SG;PRS	+s	Regular	-s	1842	1842
2509	2509	deign	deigned	V;V.PTCP;PST	+ed	Regular	-ed	1605	788
2510	2510	ruminate	ruminate	V;NFIN	no change	Regular	-	2035	2008
2511	2511	harsh	harshes	V;3;SG;PRS	+es	Irregular	-es	103	103
2512	2512	recur	recurring	V;V.PTCP;PRS	double spell	Irregular	-ring	9	9
2513	2513	shame	shamed	V;PST	+d	Irregular	-d	1718	856
2514	2514	pritch	pritching	V;V.PTCP;PRS	+ing	Regular	-ing	949	949
2515	2515	outmeasure	outmeasure	V;NFIN	no change	Regular	-	2035	2008
2516	2516	preposterate	preposterated	V;V.PTCP;PST	+d	Irregular	-d	1718	862
2517	2517	footnote	footnoting	V;V.PTCP;PRS	-e+ing	Irregular	e-ing	832	831
2518	2518	inlighten	inlightening	V;V.PTCP;PRS	+ing	Regular	-ing	949	949
2519	2519	misaddress	misaddressed	V;PST	+ed	Regular	-ed	1605	817
2520	2520	pdf	pdfed	V;PST	+ed	Regular	-ed	1605	817
2521	2521	nail	nailing	V;V.PTCP;PRS	+ing	Regular	-ing	949	949
2522	2522	hackle	hackled	V;V.PTCP;PST	+d	Irregular	-d	1718	862
2523	2523	signiorize	signiorized	V;PST	+d	Irregular	-d	1718	856
2524	2524	wedding	weddinged	V;V.PTCP;PST	+ed	Regular	-ed	1605	788
2525	2525	muhammadanize	muhammadanizes	V;3;SG;PRS	+s	Regular	-s	1842	1842
2526	2526	interlist	interlist	V;NFIN	no change	Regular	-	2035	2008
2527	2527	sin	sin	V;NFIN	no change	Regular	-	2035	2008
2528	2528	groze	grozes	V;3;SG;PRS	+s	Regular	-s	1842	1842
2529	2529	creepify	creepified	V;PST	y-ied	Irregular	y-ied	145	79
2530	2530	bestock	bestocked	V;V.PTCP;PST	+ed	Regular	-ed	1605	788
2531	2531	flex	flexing	V;V.PTCP;PRS	+ing	Regular	-ing	949	949
2532	2532	elixate	elixated	V;PST	+d	Irregular	-d	1718	856
2533	2533	hardwire	hardwired	V;V.PTCP;PST	+d	Irregular	-d	1718	862
2534	2534	epicurize	epicurize	V;NFIN	no change	Regular	-	2035	2008
2535	2535	tyek	took	V;PST	special	Irregular	ye-oo	1	1
2536	2536	canoe	canoed	V;PST	+d	Irregular	-d	1718	856
2537	2537	pother	pothered	V;V.PTCP;PST	+ed	Regular	-ed	1605	788
2538	2538	cherish	cherished	V;PST	+ed	Regular	-ed	1605	817
2539	2539	inlock	inlock	V;NFIN	no change	Regular	-	2035	2008
2540	2540	underdo	underdone	V;V.PTCP;PST	special	Irregular	-ne	2	2
2541	2541	kegel	kegeling	V;V.PTCP;PRS	+ing	Regular	-ing	949	949
2542	2542	key	keying	V;V.PTCP;PRS	+ing	Regular	-ing	949	949
2543	2543	circumstantiate	circumstantiates	V;3;SG;PRS	+s	Regular	-s	1842	1842
2544	2544	whip	whipped	V;V.PTCP;PST	double spell	Irregular	-ped	54	28
2545	2545	cark	carked	V;PST	+ed	Regular	-ed	1605	817
2546	2546	nail	nailed	V;V.PTCP;PST	+ed	Regular	-ed	1605	788
2547	2547	dwell	dwells	V;3;SG;PRS	+s	Regular	-s	1842	1842
2548	2548	pod	podded	V;V.PTCP;PST	double spell	Irregular	-ded	20	11
2549	2549	ruddle	ruddles	V;3;SG;PRS	+s	Regular	-s	1842	1842
2550	2550	preinstall	preinstalled	V;V.PTCP;PST	+ed	Regular	-ed	1605	788
2551	2551	chopper	chopper	V;NFIN	no change	Regular	-	2035	2008
2552	2552	sashay	sashay	V;NFIN	no change	Regular	-	2035	2008
2553	2553	flesh	fleshed	V;V.PTCP;PST	+ed	Regular	-ed	1605	788
2554	2554	preexist	preexisted	V;PST	+ed	Regular	-ed	1605	817
2555	2555	misperceive	misperceived	V;V.PTCP;PST	+d	Irregular	-d	1718	862
2556	2556	depeach	depeach	V;NFIN	no change	Regular	-	2035	2008
2557	2557	preregister	preregister	V;NFIN	no change	Regular	-	2035	2008
2558	2558	prerequire	prerequiring	V;V.PTCP;PRS	-e+ing	Irregular	e-ing	832	831
2559	2559	vitamise	vitamised	V;V.PTCP;PST	+d	Irregular	-d	1718	862
2560	2560	refinance	refinanced	V;V.PTCP;PST	+d	Irregular	-d	1718	862
2561	2561	revalue	revaluing	V;V.PTCP;PRS	-e+ing	Irregular	e-ing	832	831
2562	2562	narrativise	narrativising	V;V.PTCP;PRS	-e+ing	Irregular	e-ing	832	831
2563	2563	hill	hilled	V;PST	+ed	Regular	-ed	1605	817
2564	2564	sleet	sleets	V;3;SG;PRS	+s	Regular	-s	1842	1842
2565	2565	subcategorise	subcategorising	V;V.PTCP;PRS	-e+ing	Irregular	e-ing	832	831
2566	2566	rameish	rameishing	V;V.PTCP;PRS	+ing	Regular	-ing	949	949
2567	2567	meach	meached	V;PST	+ed	Regular	-ed	1605	817
2568	2568	synergize	synergizes	V;3;SG;PRS	+s	Regular	-s	1842	1842
2569	2569	excede	exceded	V;PST	+d	Irregular	-d	1718	856
2570	2570	herbarize	herbarizing	V;V.PTCP;PRS	-e+ing	Irregular	e-ing	832	831
2571	2571	aerobicize	aerobicized	V;PST	+d	Irregular	-d	1718	856
2572	2572	conflagrate	conflagrating	V;V.PTCP;PRS	-e+ing	Irregular	e-ing	832	831
2573	2573	recapitate	recapitating	V;V.PTCP;PRS	-e+ing	Irregular	e-ing	832	831
2574	2574	enprison	enprisoned	V;PST	+ed	Regular	-ed	1605	817
2575	2575	miraculize	miraculize	V;NFIN	no change	Regular	-	2035	2008
2576	2576	re-fuse	re-fusing	V;V.PTCP;PRS	-e+ing	Irregular	e-ing	832	831
2577	2577	hang-glide	hang-gliding	V;V.PTCP;PRS	-e+ing	Irregular	e-ing	832	831
2578	2578	metastisize	metastisized	V;PST	+d	Irregular	-d	1718	856
2579	2579	right-click	right-clicking	V;V.PTCP;PRS	+ing	Regular	-ing	949	949
2580	2580	acrospire	acrospired	V;PST	+d	Irregular	-d	1718	856
2581	2581	demagogue	demagoguing	V;V.PTCP;PRS	-e+ing	Irregular	e-ing	832	831
2582	2582	obtest	obtest	V;NFIN	no change	Regular	-	2035	2008
2583	2583	recollapse	recollapsed	V;PST	+d	Irregular	-d	1718	856
2584	2584	conveyance	conveyanced	V;PST	+d	Irregular	-d	1718	856
2585	2585	hæsitate	hæsitates	V;3;SG;PRS	+s	Regular	-s	1842	1842
2586	2586	liquidise	liquidised	V;PST	+d	Irregular	-d	1718	856
2587	2587	otherize	otherizes	V;3;SG;PRS	+s	Regular	-s	1842	1842
2588	2588	gnast	gnasted	V;V.PTCP;PST	+ed	Regular	-ed	1605	788
2589	2589	bedangle	bedangling	V;V.PTCP;PRS	-e+ing	Irregular	e-ing	832	831
2590	2590	addoom	addoom	V;NFIN	no change	Regular	-	2035	2008
2591	2591	yoink	yoinked	V;PST	+ed	Regular	-ed	1605	817
2592	2592	impower	impowered	V;V.PTCP;PST	+ed	Regular	-ed	1605	788
2593	2593	snipe	snipe	V;NFIN	no change	Regular	-	2035	2008
2594	2594	charioteer	charioteering	V;V.PTCP;PRS	+ing	Regular	-ing	949	949
2595	2595	inhabitate	inhabitating	V;V.PTCP;PRS	-e+ing	Irregular	e-ing	832	831
2596	2596	consist	consisted	V;V.PTCP;PST	+ed	Regular	-ed	1605	788
2597	2597	racialize	racialized	V;V.PTCP;PST	+d	Irregular	-d	1718	862
2598	2598	cinch	cinched	V;PST	+ed	Regular	-ed	1605	817
2599	2599	dmca	dmcaed	V;V.PTCP;PST	+ed	Regular	-ed	1605	788
2600	2600	disembarrass	disembarrassing	V;V.PTCP;PRS	+ing	Regular	-ing	949	949
2601	2601	educamate	educamated	V;V.PTCP;PST	+d	Irregular	-d	1718	862
2602	2602	touzle	touzling	V;V.PTCP;PRS	-e+ing	Irregular	e-ing	832	831
2603	2603	deionize	deionized	V;V.PTCP;PST	+d	Irregular	-d	1718	862
2604	2604	overwalk	overwalks	V;3;SG;PRS	+s	Regular	-s	1842	1842
2605	2605	retrogress	retrogressed	V;PST	+ed	Regular	-ed	1605	817
2606	2606	incurve	incurved	V;PST	+d	Irregular	-d	1718	856
2607	2607	philander	philanders	V;3;SG;PRS	+s	Regular	-s	1842	1842
2608	2608	drift	drifting	V;V.PTCP;PRS	+ing	Regular	-ing	949	949
2609	2609	nudzh	nudzhes	V;3;SG;PRS	+es	Irregular	-es	103	103
2610	2610	boil	boiled	V;PST	+ed	Regular	-ed	1605	817
2611	2611	earn	earning	V;V.PTCP;PRS	+ing	Regular	-ing	949	949
2612	2612	knuckle	knuckles	V;3;SG;PRS	+s	Regular	-s	1842	1842
2613	2613	skyjack	skyjacked	V;V.PTCP;PST	+ed	Regular	-ed	1605	788
2614	2614	welter	weltering	V;V.PTCP;PRS	+ing	Regular	-ing	949	949
2615	2615	genderfuck	genderfucking	V;V.PTCP;PRS	+ing	Regular	-ing	949	949
2616	2616	pre-decrement	pre-decrements	V;3;SG;PRS	+s	Regular	-s	1842	1842
2617	2617	undog	undogged	V;PST	double spell	Irregular	-ged	40	18
2618	2618	bedick	bedicks	V;3;SG;PRS	+s	Regular	-s	1842	1842
2619	2619	enharbour	enharbour	V;NFIN	no change	Regular	-	2035	2008
2620	2620	grab	grab	V;NFIN	no change	Regular	-	2035	2008
2621	2621	ridge	ridges	V;3;SG;PRS	+s	Regular	-s	1842	1842
2622	2622	effervesce	effervesced	V;V.PTCP;PST	+d	Irregular	-d	1718	862
2623	2623	decant	decant	V;NFIN	no change	Regular	-	2035	2008
2624	2624	configure	configuring	V;V.PTCP;PRS	-e+ing	Irregular	e-ing	832	831
2625	2625	disdeign	disdeigns	V;3;SG;PRS	+s	Regular	-s	1842	1842
2626	2626	motorvate	motorvated	V;V.PTCP;PST	+d	Irregular	-d	1718	862
2627	2627	relead	relead	V;NFIN	no change	Regular	-	2035	2008
2628	2628	saught	saughted	V;V.PTCP;PST	+ed	Regular	-ed	1605	788
2629	2629	autopilot	autopiloted	V;V.PTCP;PST	+ed	Regular	-ed	1605	788
2630	2630	ithe	ithe	V;NFIN	no change	Regular	-	2035	2008
2631	2631	stymie	stymies	V;3;SG;PRS	+s	Regular	-s	1842	1842
2632	2632	uppercut	uppercut	V;PST	d-t	Irregular	-	2035	14
2633	2633	manumit	manumit	V;NFIN	no change	Regular	-	2035	2008
2634	2634	hound	hound	V;NFIN	no change	Regular	-	2035	2008
2635	2635	prise	prises	V;3;SG;PRS	+s	Regular	-s	1842	1842
2636	2636	regloss	reglosses	V;3;SG;PRS	+es	Irregular	-es	103	103
2637	2637	externalise	externalised	V;PST	+d	Irregular	-d	1718	856
2638	2638	huddle	huddle	V;NFIN	no change	Regular	-	2035	2008
2639	2639	aby	aby	V;NFIN	no change	Regular	-	2035	2008
2640	2640	beheart	behearted	V;PST	+ed	Regular	-ed	1605	817
2641	2641	brace	braced	V;V.PTCP;PST	+d	Irregular	-d	1718	862
2642	2642	outrush	outrushing	V;V.PTCP;PRS	+ing	Regular	-ing	949	949
2643	2643	patinate	patinated	V;PST	+d	Irregular	-d	1718	856
2644	2644	foreadvise	foreadvises	V;3;SG;PRS	+s	Regular	-s	1842	1842
2645	2645	lustrate	lustrated	V;V.PTCP;PST	+d	Irregular	-d	1718	862
2646	2646	disparage	disparages	V;3;SG;PRS	+s	Regular	-s	1842	1842
2647	2647	overlead	overleads	V;3;SG;PRS	+s	Regular	-s	1842	1842
2648	2648	solipsize	solipsized	V;PST	+d	Irregular	-d	1718	856
2649	2649	airdry	airdry	V;NFIN	no change	Regular	-	2035	2008
2650	2650	depanelize	depanelized	V;PST	+d	Irregular	-d	1718	856
2651	2651	flurt	flurting	V;V.PTCP;PRS	+ing	Regular	-ing	949	949
2652	2652	exnihilate	exnihilated	V;PST	+d	Irregular	-d	1718	856
2653	2653	cross-fertilize	cross-fertilized	V;PST	+d	Irregular	-d	1718	856
2654	2654	overpush	overpushed	V;PST	+ed	Regular	-ed	1605	817
2655	2655	disacidify	disacidifying	V;V.PTCP;PRS	+ing	Regular	-ing	949	949
2656	2656	swan	swans	V;3;SG;PRS	+s	Regular	-s	1842	1842
2657	2657	overshare	overshared	V;PST	+d	Irregular	-d	1718	856
2658	2658	beclip	beclipping	V;V.PTCP;PRS	double spell	Irregular	-ping	30	30
2659	2659	snithe	snithing	V;V.PTCP;PRS	-e+ing	Irregular	e-ing	832	831
2660	2660	mendicate	mendicated	V;PST	+d	Irregular	-d	1718	856
2661	2661	beslurry	beslurried	V;PST	y-ied	Irregular	y-ied	145	79
2662	2662	canalize	canalized	V;V.PTCP;PST	+d	Irregular	-d	1718	862
2663	2663	tenure	tenures	V;3;SG;PRS	+s	Regular	-s	1842	1842
2664	2664	halalize	halalized	V;PST	+d	Irregular	-d	1718	856
2665	2665	gouge	gouges	V;3;SG;PRS	+s	Regular	-s	1842	1842
2666	2666	quiddle	quiddle	V;NFIN	no change	Regular	-	2035	2008
2667	2667	velcro	velcros	V;3;SG;PRS	+s	Regular	-s	1842	1842
2668	2668	predeliberate	predeliberated	V;V.PTCP;PST	+d	Irregular	-d	1718	862
2669	2669	unfret	unfretting	V;V.PTCP;PRS	double spell	Irregular	-ting	38	38
2670	2670	skronk	skronks	V;3;SG;PRS	+s	Regular	-s	1842	1842
2671	2671	intermarry	intermarries	V;3;SG;PRS	y-ies	Irregular	y-ies	74	74
2672	2672	piaffe	piaffes	V;3;SG;PRS	+s	Regular	-s	1842	1842
2673	2673	thrack	thracks	V;3;SG;PRS	+s	Regular	-s	1842	1842
2674	2674	cytocentrifuge	cytocentrifuge	V;NFIN	no change	Regular	-	2035	2008
2675	2675	aurify	aurifies	V;3;SG;PRS	y-ies	Irregular	y-ies	74	74
2676	2676	effascinate	effascinates	V;3;SG;PRS	+s	Regular	-s	1842	1842
2677	2677	prep	preps	V;3;SG;PRS	+s	Regular	-s	1842	1842
2678	2678	belittle	belittled	V;V.PTCP;PST	+d	Irregular	-d	1718	862
2679	2679	mishmash	mishmashed	V;PST	+ed	Regular	-ed	1605	817
2680	2680	enlock	enlocking	V;V.PTCP;PRS	+ing	Regular	-ing	949	949
2681	2681	reauthorise	reauthorise	V;NFIN	no change	Regular	-	2035	2008
2682	2682	infeeble	infeebles	V;3;SG;PRS	+s	Regular	-s	1842	1842
2683	2683	toslive	toslived	V;PST	+d	Irregular	-d	1718	856
2684	2684	inflex	inflexing	V;V.PTCP;PRS	+ing	Regular	-ing	949	949
2685	2685	anagrammatise	anagrammatising	V;V.PTCP;PRS	-e+ing	Irregular	e-ing	832	831
2686	2686	attemper	attempering	V;V.PTCP;PRS	+ing	Regular	-ing	949	949
2687	2687	emule	emuled	V;PST	+d	Irregular	-d	1718	856
2688	2688	tally	tallied	V;PST	y-ied	Irregular	y-ied	145	79
2689	2689	palettise	palettised	V;PST	+d	Irregular	-d	1718	856
2690	2690	lop	lops	V;3;SG;PRS	+s	Regular	-s	1842	1842
2691	2691	delimit	delimit	V;NFIN	no change	Regular	-	2035	2008
2692	2692	claver	claver	V;NFIN	no change	Regular	-	2035	2008
2693	2693	misattribute	misattribute	V;NFIN	no change	Regular	-	2035	2008
2694	2694	overcommunicate	overcommunicating	V;V.PTCP;PRS	-e+ing	Irregular	e-ing	832	831
2695	2695	forecall	forecalling	V;V.PTCP;PRS	+ing	Regular	-ing	949	949
2696	2696	larp	larp	V;NFIN	no change	Regular	-	2035	2008
2697	2697	buss	bussed	V;V.PTCP;PST	+ed	Regular	-ed	1605	788
2698	2698	preplan	preplans	V;3;SG;PRS	+s	Regular	-s	1842	1842
2699	2699	revitalise	revitalises	V;3;SG;PRS	+s	Regular	-s	1842	1842
2700	2700	freezeframe	freezeframe	V;NFIN	no change	Regular	-	2035	2008
2701	2701	fiberglass	fiberglass	V;NFIN	no change	Regular	-	2035	2008
2702	2702	open	opens	V;3;SG;PRS	+s	Regular	-s	1842	1842
2703	2703	overdate	overdated	V;V.PTCP;PST	+d	Irregular	-d	1718	862
2704	2704	stog	stogging	V;V.PTCP;PRS	double spell	Irregular	-ging	17	17
2705	2705	suffice	sufficed	V;PST	+d	Irregular	-d	1718	856
2706	2706	respect	respected	V;PST	+ed	Regular	-ed	1605	817
2707	2707	thick	thicks	V;3;SG;PRS	+s	Regular	-s	1842	1842
2708	2708	parquet	parqueted	V;V.PTCP;PST	+ed	Regular	-ed	1605	788
2709	2709	undight	undighting	V;V.PTCP;PRS	+ing	Regular	-ing	949	949
2710	2710	garter	gartered	V;V.PTCP;PST	+ed	Regular	-ed	1605	788
2711	2711	unshade	unshades	V;3;SG;PRS	+s	Regular	-s	1842	1842
2712	2712	fulfil	fulfilled	V;V.PTCP;PST	double spell	Irregular	-led	47	27
2713	2713	exfiltrate	exfiltrating	V;V.PTCP;PRS	-e+ing	Irregular	e-ing	832	831
2714	2714	acervate	acervating	V;V.PTCP;PRS	-e+ing	Irregular	e-ing	832	831
2715	2715	marionette	marionettes	V;3;SG;PRS	+s	Regular	-s	1842	1842
2716	2716	indurate	indurating	V;V.PTCP;PRS	-e+ing	Irregular	e-ing	832	831
2717	2717	miniaturize	miniaturize	V;NFIN	no change	Regular	-	2035	2008
2718	2718	unmold	unmolded	V;V.PTCP;PST	+ed	Regular	-ed	1605	788
2719	2719	decree	decreed	V;V.PTCP;PST	+d	Irregular	-d	1718	862
2720	2720	inhale	inhales	V;3;SG;PRS	+s	Regular	-s	1842	1842
2721	2721	club-hop	club-hops	V;3;SG;PRS	+s	Regular	-s	1842	1842
2722	2722	mindscrew	mindscrewed	V;PST	+ed	Regular	-ed	1605	817
2723	2723	norwegianize	norwegianize	V;NFIN	no change	Regular	-	2035	2008
2724	2724	employ	employs	V;3;SG;PRS	+s	Regular	-s	1842	1842
2725	2725	manifest	manifested	V;PST	+ed	Regular	-ed	1605	817
2726	2726	reintern	reintern	V;NFIN	no change	Regular	-	2035	2008
2727	2727	miscalibrate	miscalibrated	V;PST	+d	Irregular	-d	1718	856
2728	2728	spreadeagle	spreadeagle	V;NFIN	no change	Regular	-	2035	2008
2729	2729	spanish	spanished	V;PST	+ed	Regular	-ed	1605	817
2730	2730	manure	manured	V;V.PTCP;PST	+d	Irregular	-d	1718	862
2731	2731	reland	relanded	V;V.PTCP;PST	+ed	Regular	-ed	1605	788
2732	2732	relook	relook	V;NFIN	no change	Regular	-	2035	2008
2733	2733	excite	excited	V;V.PTCP;PST	+d	Irregular	-d	1718	862
2734	2734	convoy	convoy	V;NFIN	no change	Regular	-	2035	2008
2735	2735	tetanize	tetanized	V;PST	+d	Irregular	-d	1718	856
2736	2736	sternutate	sternutated	V;V.PTCP;PST	+d	Irregular	-d	1718	862
2737	2737	enflower	enflowering	V;V.PTCP;PRS	+ing	Regular	-ing	949	949
2738	2738	furl	furled	V;V.PTCP;PST	+ed	Regular	-ed	1605	788
2739	2739	chequer	chequer	V;NFIN	no change	Regular	-	2035	2008
2740	2740	rewatch	rewatches	V;3;SG;PRS	+es	Irregular	-es	103	103
2741	2741	mither	mither	V;NFIN	no change	Regular	-	2035	2008
2742	2742	intervent	intervented	V;PST	+ed	Regular	-ed	1605	817
2743	2743	ching	chinged	V;V.PTCP;PST	+ed	Regular	-ed	1605	788
2744	2744	unkey	unkey	V;NFIN	no change	Regular	-	2035	2008
2745	2745	clusterfuck	clusterfuck	V;NFIN	no change	Regular	-	2035	2008
2746	2746	beguyle	beguyle	V;NFIN	no change	Regular	-	2035	2008
2747	2747	disincentivise	disincentivise	V;NFIN	no change	Regular	-	2035	2008
2748	2748	overdetermine	overdetermined	V;PST	+d	Irregular	-d	1718	856
2749	2749	reexpose	reexposed	V;V.PTCP;PST	+d	Irregular	-d	1718	862
2750	2750	despair	despairs	V;3;SG;PRS	+s	Regular	-s	1842	1842
2751	2751	bloody	bloodies	V;3;SG;PRS	y-ies	Irregular	y-ies	74	74
2752	2752	besnuff	besnuff	V;NFIN	no change	Regular	-	2035	2008
2753	2753	bewatch	bewatches	V;3;SG;PRS	+es	Irregular	-es	103	103
2754	2754	impersonate	impersonates	V;3;SG;PRS	+s	Regular	-s	1842	1842
2755	2755	alternate	alternated	V;V.PTCP;PST	+d	Irregular	-d	1718	862
2756	2756	mythologise	mythologises	V;3;SG;PRS	+s	Regular	-s	1842	1842
2757	2757	free	freed	V;PST	+d	Irregular	-d	1718	856
2758	2758	reindict	reindict	V;NFIN	no change	Regular	-	2035	2008
2759	2759	taxi	taxied	V;PST	+ed	Regular	-ed	1605	817
2760	2760	foster	fostered	V;V.PTCP;PST	+ed	Regular	-ed	1605	788
2761	2761	reënable	reënabled	V;PST	+d	Irregular	-d	1718	856
2762	2762	air-freight	air-freighted	V;PST	+ed	Regular	-ed	1605	817
2763	2763	unsubscribe	unsubscribed	V;PST	+d	Irregular	-d	1718	856
2764	2764	interline	interline	V;NFIN	no change	Regular	-	2035	2008
2765	2765	overintellectualise	overintellectualised	V;V.PTCP;PST	+d	Irregular	-d	1718	862
2766	2766	polytenize	polytenized	V;PST	+d	Irregular	-d	1718	856
2767	2767	inlist	inlisting	V;V.PTCP;PRS	+ing	Regular	-ing	949	949
2768	2768	internationalize	internationalizes	V;3;SG;PRS	+s	Regular	-s	1842	1842
2769	2769	upbar	upbars	V;3;SG;PRS	+s	Regular	-s	1842	1842
2770	2770	luxuriate	luxuriated	V;PST	+d	Irregular	-d	1718	856
2771	2771	indamage	indamaging	V;V.PTCP;PRS	-e+ing	Irregular	e-ing	832	831
2772	2772	mismate	mismated	V;V.PTCP;PST	+d	Irregular	-d	1718	862
2773	2773	resect	resects	V;3;SG;PRS	+s	Regular	-s	1842	1842
2774	2774	acquit	acquitting	V;V.PTCP;PRS	double spell	Irregular	-ting	38	38
2775	2775	exegete	exegete	V;NFIN	no change	Regular	-	2035	2008
2776	2776	gloar	gloaring	V;V.PTCP;PRS	+ing	Regular	-ing	949	949
2777	2777	transmigrate	transmigrated	V;PST	+d	Irregular	-d	1718	856
2778	2778	wainscot	wainscots	V;3;SG;PRS	+s	Regular	-s	1842	1842
2779	2779	strew	strewed	V;PST	+ed	Regular	-ed	1605	817
2780	2780	seduce	seduced	V;V.PTCP;PST	+d	Irregular	-d	1718	862
2781	2781	forsay	forsaid	V;V.PTCP;PST	special	Irregular	y-id	10	4
2782	2782	recohere	recohering	V;V.PTCP;PRS	-e+ing	Irregular	e-ing	832	831
2783	2783	feceate	feceates	V;3;SG;PRS	+s	Regular	-s	1842	1842
2784	2784	premasticate	premasticate	V;NFIN	no change	Regular	-	2035	2008
2785	2785	polonize	polonizing	V;V.PTCP;PRS	-e+ing	Irregular	e-ing	832	831
2786	2786	proselytise	proselytised	V;PST	+d	Irregular	-d	1718	856
2787	2787	remark	remark	V;NFIN	no change	Regular	-	2035	2008
2788	2788	rehire	rehires	V;3;SG;PRS	+s	Regular	-s	1842	1842
2789	2789	allot	allot	V;NFIN	no change	Regular	-	2035	2008
2790	2790	enarmor	enarmored	V;PST	+ed	Regular	-ed	1605	817
2791	2791	profiteer	profiteering	V;V.PTCP;PRS	+ing	Regular	-ing	949	949
2792	2792	rocket	rocketed	V;V.PTCP;PST	+ed	Regular	-ed	1605	788
2793	2793	rasterise	rasterises	V;3;SG;PRS	+s	Regular	-s	1842	1842
2794	2794	afford	afforded	V;PST	+ed	Regular	-ed	1605	817
2795	2795	tertiate	tertiates	V;3;SG;PRS	+s	Regular	-s	1842	1842
2796	2796	beshut	beshutting	V;V.PTCP;PRS	double spell	Irregular	-ting	38	38
2797	2797	bristle	bristles	V;3;SG;PRS	+s	Regular	-s	1842	1842
2798	2798	nance	nances	V;3;SG;PRS	+s	Regular	-s	1842	1842
2799	2799	questionnaire	questionnaire	V;NFIN	no change	Regular	-	2035	2008
2800	2800	jihadise	jihadised	V;V.PTCP;PST	+d	Irregular	-d	1718	862
2801	2801	reperceive	reperceive	V;NFIN	no change	Regular	-	2035	2008
2802	2802	repin	repins	V;3;SG;PRS	+s	Regular	-s	1842	1842
2803	2803	engle	engles	V;3;SG;PRS	+s	Regular	-s	1842	1842
2804	2804	kiteboard	kiteboarded	V;PST	+ed	Regular	-ed	1605	817
2805	2805	foray	forayed	V;PST	+ed	Regular	-ed	1605	817
2806	2806	miscommunicate	miscommunicating	V;V.PTCP;PRS	-e+ing	Irregular	e-ing	832	831
2807	2807	bestagger	bestagger	V;NFIN	no change	Regular	-	2035	2008
2808	2808	pussify	pussify	V;NFIN	no change	Regular	-	2035	2008
2809	2809	pettifog	pettifog	V;NFIN	no change	Regular	-	2035	2008
2810	2810	wimble	wimbles	V;3;SG;PRS	+s	Regular	-s	1842	1842
2811	2811	croatise	croatised	V;V.PTCP;PST	+d	Irregular	-d	1718	862
2812	2812	backspace	backspace	V;NFIN	no change	Regular	-	2035	2008
2813	2813	resubmerge	resubmerging	V;V.PTCP;PRS	-e+ing	Irregular	e-ing	832	831
2814	2814	branch	branch	V;NFIN	no change	Regular	-	2035	2008
2815	2815	parlay	parlays	V;3;SG;PRS	+s	Regular	-s	1842	1842
2816	2816	twink	twinks	V;3;SG;PRS	+s	Regular	-s	1842	1842
2817	2817	exact	exacted	V;PST	+ed	Regular	-ed	1605	817
2818	2818	reionise	reionised	V;V.PTCP;PST	+d	Irregular	-d	1718	862
2819	2819	mocque	mocque	V;NFIN	no change	Regular	-	2035	2008
2820	2820	polymerise	polymerising	V;V.PTCP;PRS	-e+ing	Irregular	e-ing	832	831
2821	2821	ladder	ladder	V;NFIN	no change	Regular	-	2035	2008
2822	2822	unnestle	unnestle	V;NFIN	no change	Regular	-	2035	2008
2823	2823	self-congratulate	self-congratulate	V;NFIN	no change	Regular	-	2035	2008
2824	2824	surge	surging	V;V.PTCP;PRS	-e+ing	Irregular	e-ing	832	831
2825	2825	wot	wots	V;3;SG;PRS	+s	Regular	-s	1842	1842
2826	2826	bide	bided	V;V.PTCP;PST	+d	Irregular	-d	1718	862
2827	2827	spiff	spiffed	V;V.PTCP;PST	+ed	Regular	-ed	1605	788
2828	2828	gauge	gauging	V;V.PTCP;PRS	-e+ing	Irregular	e-ing	832	831
2829	2829	unstress	unstresses	V;3;SG;PRS	+es	Irregular	-es	103	103
2830	2830	derp	derping	V;V.PTCP;PRS	+ing	Regular	-ing	949	949
2831	2831	drite	driting	V;V.PTCP;PRS	-e+ing	Irregular	e-ing	832	831
2832	2832	trumpet	trumpets	V;3;SG;PRS	+s	Regular	-s	1842	1842
2833	2833	transplant	transplanted	V;V.PTCP;PST	+ed	Regular	-ed	1605	788
